homeShotsOutPenaltyArea,homeAttThSucPaAccuracy,homeAttThPass,guestAttThSucPaAccuracy,guestKeyPasses,guestBreakThrows,guestShots,half,guestAttThPass,homeShots,guestShotsOnTargetObox,guestShotsInPenaltyArea,guestShotsOutPenaltyArea,guestCenter,guestShotsOnTargetIbox,homeBreakThrows,matchHalf,homeShotsInPenaltyArea,matchId,homeShotsOnTargetObox,homeKeyPasses,homeShotsOnTargetIbox,homeCenter,l_team,r_team
2,0.629,62,0.71,8,12,13,0,100,4,1,6,7,13,2,14,0,2,15141,1,1,2,10,辽宁沈阳宏运,新疆天山雪豹
1,0.586,29,0.694,3,7,6,1,36,3,0,2,4,5,1,7,0,2,15141,1,1,2,7,辽宁沈阳宏运,新疆天山雪豹
1,0.667,33,0.719,5,5,7,2,64,1,1,4,3,8,1,7,0,0,15141,0,0,0,3,辽宁沈阳宏运,新疆天山雪豹
3,0.655,55,0.6,11,15,13,0,80,11,4,3,10,28,1,23,0,8,15143,1,6,5,15,北京北控燕京,浙江毅腾
1,0.643,28,0.444,3,10,4,1,27,4,1,2,2,12,1,11,0,3,15143,1,1,2,10,北京北控燕京,浙江毅腾
2,0.667,27,0.679,8,5,9,2,53,7,3,1,8,16,0,12,0,5,15143,0,5,3,5,北京北控燕京,浙江毅腾
2,0.746,67,0.747,11,7,15,0,79,8,3,6,9,17,2,9,0,6,15146,1,4,3,4,浙江绿城,呼和浩特
1,0.792,24,0.722,5,6,6,1,36,3,2,3,3,8,2,1,0,2,15146,1,3,0,2,浙江绿城,呼和浩特
1,0.721,43,0.767,6,1,9,2,43,5,1,3,6,9,0,8,0,4,15146,0,1,3,2,浙江绿城,呼和浩特
5,0.672,125,0.592,6,14,8,0,49,15,1,4,4,9,2,11,0,10,15147,1,12,5,21,石家庄永昌,梅州客家
3,0.621,58,0.647,2,6,3,1,17,7,1,2,1,2,1,5,0,4,15147,1,5,3,11,石家庄永昌,梅州客家
2,0.716,67,0.562,4,8,5,2,32,8,0,2,3,7,1,6,0,6,15147,0,7,2,10,石家庄永昌,梅州客家
7,0.736,163,0.65,4,9,5,0,60,16,0,3,2,14,2,14,0,9,15148,1,10,3,28,梅县铁汉生态,延边富德
2,0.797,64,0.564,1,5,2,1,39,4,0,1,1,11,1,5,0,2,15148,0,2,0,7,梅县铁汉生态,延边富德
5,0.697,99,0.81,3,4,3,2,21,12,0,2,1,3,1,9,0,7,15148,1,8,3,21,梅县铁汉生态,延边富德
6,0.652,69,0.618,9,12,13,0,55,17,1,7,6,12,5,30,0,11,15142,2,8,4,19,深圳佳兆业,黑龙江火山鸣泉
3,0.743,35,0.63,3,8,5,1,27,7,0,2,3,4,2,17,0,4,15142,2,2,3,6,深圳佳兆业,黑龙江火山鸣泉
3,0.559,34,0.607,6,4,8,2,28,10,1,5,3,8,3,13,0,7,15142,0,6,1,13,深圳佳兆业,黑龙江火山鸣泉
6,0.683,104,0.513,4,14,8,0,39,21,1,5,3,10,3,26,0,15,15145,1,13,7,28,青岛黄海制药,大连超越
