guestShotsBlocks,guestIntercepttions,guestRedCard,guestYellowCard,half,homeYellowCard,homeTacklesConneceded,guestPassBlocks,homePassBlocks,homeClearances,matchHalf,homeRedCard,guestTackles,homeShotsBlocks,homeFoul,guestFoul,matchId,homeIntercepttions,homeTackles,guestClearances,guestTacklesConneceded,l_team,r_team
2,24,0,1,0,2,0,11,11,23,0,0,16,7,9,21,17566,22,24,40,0,石家庄永昌,深圳佳兆业
2,13,0,1,1,2,0,5,2,11,0,0,7,5,6,12,17566,11,10,19,0,石家庄永昌,深圳佳兆业
0,11,0,0,2,0,0,6,9,12,0,0,9,2,3,9,17566,11,14,21,0,石家庄永昌,深圳佳兆业
2,4,1,3,0,3,0,9,6,8,0,2,9,2,19,11,17567,10,10,18,0,青岛黄海青港,武汉卓尔
0,2,1,1,1,3,0,6,4,5,0,0,2,2,10,6,17567,7,7,6,0,青岛黄海青港,武汉卓尔
2,2,0,2,2,2,0,3,2,3,0,1,7,0,9,5,17567,3,3,12,0,青岛黄海青港,武汉卓尔
3,5,1,1,0,2,0,11,18,49,0,0,8,0,10,11,17571,7,14,18,0,上海上港,江苏苏宁易购
2,3,0,0,1,2,0,3,10,16,0,0,5,0,6,7,17571,4,6,12,0,上海上港,江苏苏宁易购
1,2,1,1,2,0,0,8,8,33,0,0,3,0,4,4,17571,3,8,6,0,上海上港,江苏苏宁易购
2,14,0,1,0,6,0,5,13,37,0,0,24,8,20,7,17570,22,25,14,0,广州恒大淘宝,北京中赫国安
2,5,0,1,1,3,0,3,5,9,0,0,12,4,11,5,17570,12,10,11,0,广州恒大淘宝,北京中赫国安
0,9,0,0,2,3,0,2,8,28,0,0,12,4,9,2,17570,10,15,3,0,广州恒大淘宝,北京中赫国安
2,9,0,2,0,3,0,9,5,15,0,0,11,0,13,21,17590,6,15,15,0,河南建业,天津泰达
1,4,0,1,1,1,0,3,2,9,0,0,7,0,8,7,17590,4,9,7,0,河南建业,天津泰达
1,5,0,1,2,2,0,6,3,6,0,0,4,0,5,14,17590,2,6,8,0,河南建业,天津泰达
2,18,0,3,0,2,0,18,4,13,0,0,24,5,9,25,17591,18,20,5,0,广州富力,大连人
1,10,0,2,1,0,0,10,1,7,0,0,11,2,7,11,17591,7,12,1,0,广州富力,大连人
1,8,0,1,2,2,0,8,3,6,0,0,13,3,2,14,17591,11,8,4,0,广州富力,大连人
3,11,0,3,0,2,0,6,7,24,0,0,11,4,13,18,17592,1,19,7,0,青岛黄海青港,深圳佳兆业
1,6,0,1,1,2,0,5,4,10,0,0,4,2,8,8,17592,1,13,3,0,青岛黄海青港,深圳佳兆业
2,5,0,2,2,0,0,1,3,14,0,0,7,2,5,10,17592,0,6,4,0,青岛黄海青港,深圳佳兆业
0,5,1,1,0,3,0,3,10,16,0,0,11,2,19,21,17594,12,15,11,0,上海绿地申花,河北华夏幸福
0,2,0,1,1,0,0,1,3,2,0,0,5,0,13,9,17594,6,8,3,0,上海绿地申花,河北华夏幸福
0,3,1,1,2,3,0,2,7,14,0,0,6,2,6,12,17594,6,7,8,0,上海绿地申花,河北华夏幸福
1,10,0,2,0,1,0,9,14,16,0,0,18,0,20,8,17595,10,16,16,0,重庆当代,山东鲁能泰山
0,7,0,0,1,0,0,5,8,3,0,0,11,0,12,4,17595,6,7,8,0,重庆当代,山东鲁能泰山
1,3,0,2,2,1,0,4,6,13,0,0,7,0,8,4,17595,4,9,8,0,重庆当代,山东鲁能泰山
1,9,0,5,0,3,0,13,8,19,0,0,9,2,17,21,17593,5,9,15,0,武汉卓尔,石家庄永昌
0,3,0,2,1,1,0,6,3,6,0,0,6,1,5,10,17593,3,6,11,0,武汉卓尔,石家庄永昌
1,6,0,3,2,2,0,7,5,13,0,0,3,1,12,11,17593,2,3,4,0,武汉卓尔,石家庄永昌
5,24,0,1,0,3,0,5,8,15,0,0,21,0,9,9,17596,17,20,25,0,上海上港,北京中赫国安
2,16,0,0,1,1,0,4,4,10,0,0,11,0,4,5,17596,7,9,17,0,上海上港,北京中赫国安
3,8,0,1,2,2,0,1,4,5,0,0,10,0,5,4,17596,10,11,8,0,上海上港,北京中赫国安
0,3,0,3,0,3,0,3,14,9,0,0,20,1,19,21,17597,4,12,7,0,江苏苏宁易购,广州恒大淘宝
0,1,0,2,1,1,0,2,4,4,0,0,13,0,10,8,17597,3,9,4,0,江苏苏宁易购,广州恒大淘宝
0,2,0,1,2,2,0,1,10,5,0,0,7,1,9,13,17597,1,3,3,0,江苏苏宁易购,广州恒大淘宝
2,8,0,2,0,0,0,15,14,18,0,0,18,4,12,21,17598,3,15,24,0,天津泰达,河南建业
1,5,0,1,1,0,0,6,11,8,0,0,7,3,7,10,17598,3,8,10,0,天津泰达,河南建业
1,3,0,1,2,0,0,9,3,10,0,0,11,1,5,11,17598,0,7,14,0,天津泰达,河南建业
3,6,0,1,0,1,0,9,12,9,0,0,9,1,12,14,17599,8,13,16,0,大连人,广州富力
2,0,0,1,1,0,0,5,5,7,0,0,3,1,7,6,17599,4,2,5,0,大连人,广州富力
1,6,0,0,2,1,0,4,7,2,0,0,6,0,5,8,17599,4,11,11,0,大连人,广州富力
2,7,0,1,0,5,0,4,13,14,0,0,14,0,15,9,17600,4,14,29,0,深圳佳兆业,青岛黄海青港
0,2,0,0,1,1,0,1,6,2,0,0,9,0,7,5,17600,2,5,21,0,深圳佳兆业,青岛黄海青港
2,5,0,1,2,4,0,3,7,12,0,0,5,0,8,4,17600,2,9,8,0,深圳佳兆业,青岛黄海青港
1,28,0,0,0,0,0,8,4,23,0,0,36,3,13,13,17602,23,22,10,0,河北华夏幸福,上海绿地申花
1,16,0,0,1,0,0,5,1,6,0,0,23,1,8,6,17602,15,13,4,0,河北华夏幸福,上海绿地申花
0,12,0,0,2,0,0,3,3,17,0,0,13,2,5,7,17602,8,9,6,0,河北华夏幸福,上海绿地申花
1,13,0,0,0,3,0,9,9,20,0,0,10,3,14,6,17603,8,15,24,0,山东鲁能泰山,重庆当代
1,5,0,0,1,2,0,4,4,10,0,0,6,1,3,1,17603,4,6,10,0,山东鲁能泰山,重庆当代
0,8,0,0,2,1,0,5,5,10,0,0,4,2,11,5,17603,4,9,14,0,山东鲁能泰山,重庆当代
1,18,0,2,0,0,0,11,13,23,0,0,21,3,17,11,17601,24,19,23,0,石家庄永昌,武汉卓尔
1,11,0,0,1,0,0,8,4,15,0,0,8,1,9,3,17601,11,9,12,0,石家庄永昌,武汉卓尔
0,7,0,2,2,0,0,3,9,8,0,0,13,2,8,8,17601,13,10,11,0,石家庄永昌,武汉卓尔
2,5,0,1,0,3,0,10,15,35,0,0,19,6,6,21,17604,8,19,13,0,北京中赫国安,上海上港
2,4,0,0,1,1,0,5,8,20,0,0,9,4,1,10,17604,3,9,5,0,北京中赫国安,上海上港
0,1,0,1,2,2,0,5,7,15,0,0,10,2,5,11,17604,5,10,8,0,北京中赫国安,上海上港
1,30,0,7,0,2,0,5,8,10,0,1,26,0,13,14,17605,21,17,20,0,广州恒大淘宝,江苏苏宁易购
0,12,0,1,1,1,0,3,2,6,0,1,11,0,6,4,17605,9,6,10,0,广州恒大淘宝,江苏苏宁易购
1,18,0,6,2,1,0,2,6,4,0,0,15,0,7,10,17605,12,11,10,0,广州恒大淘宝,江苏苏宁易购
