guestShotsBlocks,guestIntercepttions,guestRedCard,guestYellowCard,half,homeYellowCard,homeTacklesConneceded,guestPassBlocks,homePassBlocks,homeClearances,matchHalf,homeRedCard,guestTackles,homeShotsBlocks,homeFoul,guestFoul,matchId,homeIntercepttions,homeTackles,guestClearances,guestTacklesConneceded,l_team,r_team
5,13,0,1,0,3,0,12,10,22,0,0,16,2,17,21,16512,6,21,36,0,广东华南虎,新疆雪豹纳欢
5,6,0,1,1,1,0,9,4,10,0,0,10,0,7,11,16512,3,12,24,0,广东华南虎,新疆雪豹纳欢
0,7,0,0,2,2,0,3,6,12,0,0,6,2,10,10,16512,3,9,12,0,广东华南虎,新疆雪豹纳欢
1,9,0,3,0,3,0,13,14,20,0,0,13,5,22,18,16515,11,15,16,0,上海申鑫,长春亚泰
1,6,0,1,1,2,0,7,6,11,0,0,3,3,11,12,16515,5,5,7,0,上海申鑫,长春亚泰
0,3,0,2,2,1,0,6,8,9,0,0,10,2,11,6,16515,6,10,9,0,上海申鑫,长春亚泰
0,19,0,3,0,2,0,7,10,24,0,0,11,2,11,15,16517,12,10,34,0,四川FC,呼和浩特
0,11,0,3,1,0,0,2,6,8,0,0,4,2,5,11,16517,3,6,9,0,四川FC,呼和浩特
0,8,0,0,2,2,0,5,4,16,0,0,7,0,6,4,16517,9,4,25,0,四川FC,呼和浩特
2,6,0,1,0,1,0,3,8,18,0,0,15,2,18,14,16511,10,20,4,0,陕西大秦之水,黑龙江FC
1,3,0,1,1,1,0,1,4,9,0,0,6,2,10,9,16511,3,4,2,0,陕西大秦之水,黑龙江FC
1,3,0,0,2,0,0,2,4,9,0,0,9,0,8,5,16511,7,16,2,0,陕西大秦之水,黑龙江FC
3,13,0,4,0,4,0,9,14,12,0,0,12,1,21,17,16513,19,13,36,0,贵州恒丰,辽宁沈阳宏运
1,4,0,1,1,3,0,5,7,8,0,0,6,1,14,7,16513,7,6,16,0,贵州恒丰,辽宁沈阳宏运
2,9,0,3,2,1,0,4,7,4,0,0,6,0,7,10,16513,12,7,20,0,贵州恒丰,辽宁沈阳宏运
0,8,0,1,0,2,0,8,15,40,0,0,15,2,11,12,16514,21,13,19,0,梅州客家,北京北体大
0,5,0,1,1,0,0,4,8,9,0,0,9,1,7,5,16514,13,6,10,0,梅州客家,北京北体大
