guestShotsBlocks,guestIntercepttions,guestRedCard,guestYellowCard,half,homeYellowCard,homeTacklesConneceded,guestPassBlocks,homePassBlocks,homeClearances,matchHalf,homeRedCard,guestTackles,homeShotsBlocks,homeFoul,guestFoul,matchId,homeIntercepttions,homeTackles,guestClearances,guestTacklesConneceded,l_team,r_team
4,18,0,0,0,0,0,5,5,14,0,0,20,0,21,12,16101,23,31,27,0,山东鲁能泰山,北京人和
2,10,0,0,1,0,0,2,2,5,0,0,11,0,9,5,16101,9,17,16,0,山东鲁能泰山,北京人和
2,8,0,0,2,0,0,3,3,9,0,0,9,0,12,7,16101,14,14,11,0,山东鲁能泰山,北京人和
0,9,0,1,0,0,0,13,11,18,0,1,19,2,14,10,16102,10,16,11,0,广州恒大淘宝,天津天海
0,5,0,0,1,0,0,9,7,7,0,1,8,1,7,4,16102,4,9,7,0,广州恒大淘宝,天津天海
0,4,0,1,2,0,0,4,4,11,0,0,11,1,7,6,16102,6,7,4,0,广州恒大淘宝,天津天海
2,5,0,1,0,3,0,5,8,24,0,1,12,3,14,12,16103,11,4,30,0,上海绿地申花,上海上港
1,4,0,1,1,1,0,3,4,13,0,0,9,1,9,6,16103,4,1,18,0,上海绿地申花,上海上港
1,1,0,0,2,2,0,2,4,11,0,1,3,2,5,6,16103,7,3,12,0,上海绿地申花,上海上港
2,12,0,1,0,0,0,11,17,17,0,0,28,5,15,16,16104,13,17,6,0,武汉卓尔,北京中赫国安
0,3,0,0,1,0,0,5,11,8,0,0,14,3,7,7,16104,6,6,0,0,武汉卓尔,北京中赫国安
2,9,0,1,2,0,0,6,6,9,0,0,14,2,8,9,16104,7,11,6,0,武汉卓尔,北京中赫国安
2,12,0,3,0,2,0,11,8,10,0,0,36,3,22,22,16106,12,16,19,0,重庆斯威,广州富力
0,3,0,1,1,2,0,2,5,7,0,0,13,2,13,14,16106,7,6,6,0,重庆斯威,广州富力
2,9,0,2,2,0,0,9,3,3,0,0,23,1,9,8,16106,5,10,13,0,重庆斯威,广州富力
4,9,1,0,0,2,0,5,18,40,0,0,13,3,24,14,16105,7,15,14,0,深圳佳兆业,河北华夏幸福
2,3,0,1,1,2,0,2,7,18,0,0,7,0,9,6,16105,6,9,5,0,深圳佳兆业,河北华夏幸福
2,6,1,0,2,0,0,3,11,22,0,0,6,3,15,8,16105,1,6,9,0,深圳佳兆业,河北华夏幸福
1,9,1,1,0,1,0,10,13,20,0,0,23,3,15,23,16107,10,21,17,0,河南建业,大连一方
0,8,1,1,1,0,0,4,10,9,0,0,10,0,8,13,16107,7,13,5,0,河南建业,大连一方
1,1,0,0,2,1,0,6,3,11,0,0,13,3,7,10,16107,3,8,12,0,河南建业,大连一方
1,16,1,1,0,1,0,11,9,23,0,0,10,4,15,11,16108,16,15,24,0,江苏苏宁易购,天津泰达
1,10,0,1,1,0,0,7,3,1,0,0,6,1,7,7,16108,8,7,19,0,江苏苏宁易购,天津泰达
0,6,1,1,2,1,0,4,6,22,0,0,4,3,8,4,16108,8,8,5,0,江苏苏宁易购,天津泰达
3,30,0,5,0,2,0,5,12,21,0,0,14,2,19,19,16109,13,28,25,0,广州恒大淘宝,天津泰达
2,16,0,3,1,1,0,2,6,13,0,0,9,0,12,7,16109,10,16,9,0,广州恒大淘宝,天津泰达
1,14,0,2,2,1,0,3,6,8,0,0,5,2,7,12,16109,3,12,16,0,广州恒大淘宝,天津泰达
1,8,0,2,0,1,0,13,7,13,0,0,24,0,20,15,16110,7,23,22,0,山东鲁能泰山,河南建业
0,5,0,0,1,0,0,8,2,5,0,0,14,0,11,7,16110,1,12,10,0,山东鲁能泰山,河南建业
1,3,0,2,2,1,0,5,5,8,0,0,10,0,9,8,16110,6,11,12,0,山东鲁能泰山,河南建业
6,14,0,3,0,0,0,7,13,25,0,0,17,3,17,18,16112,7,12,16,0,重庆斯威,北京中赫国安
2,5,0,1,1,0,0,4,7,15,0,0,10,1,7,7,16112,3,5,3,0,重庆斯威,北京中赫国安
