guestFrontFreeKicks,guestInitAttackRate,guestFreekiscks,guestCorners,guestPassesSuccRate,guestPass,guestShots,guestGoals,half,homeFreekiscks,guestShotsOnTarget,homePassesSuccRate,homeFrontFreeKicks,homePass,homeInitAttackRate,homeGoals,homePenalties,homeShots,homeCorners,guestPenalties,homePossAve,matchHalf,matchId,guestPossAve,homeShotsOnTarget,l_team,r_team
3,0.573,7,2,0.732,261,4,0,2,15,1,0.602,7,123,0.427,0,0,5,1,0,0.423,0,15150,0.577,2,梅州客家,延边富德
9,0.48,21,0,0.694,245,8,0,0,19,1,0.781,8,365,0.52,3,1,12,4,0,0.558,0,15151,0.442,6,石家庄永昌,呼和浩特
7,0.545,13,0,0.67,115,2,0,1,10,0,0.8,4,175,0.455,1,0,2,2,0,0.53,0,15151,0.47,2,石家庄永昌,呼和浩特
2,0.417,8,0,0.715,130,6,0,2,9,1,0.763,4,190,0.583,2,1,10,2,0,0.583,0,15151,0.417,4,石家庄永昌,呼和浩特
8,0.432,21,2,0.753,352,10,3,0,18,4,0.782,9,357,0.568,2,0,12,4,1,0.509,0,15154,0.491,6,浙江毅腾,武汉卓尔
3,0.416,8,1,0.679,156,2,1,1,10,1,0.768,7,211,0.584,2,0,7,3,0,0.56,0,15154,0.44,2,浙江毅腾,武汉卓尔
5,0.449,13,1,0.811,196,8,2,2,8,3,0.801,2,146,0.551,0,0,5,1,1,0.459,0,15154,0.541,4,浙江毅腾,武汉卓尔
6,0.36,27,1,0.699,299,4,0,0,21,1,0.754,7,374,0.64,0,0,9,4,0,0.545,0,15157,0.455,3,深圳佳兆业,新疆天山雪豹
2,0.38,12,0,0.712,156,2,0,1,5,1,0.769,2,199,0.62,0,0,5,3,0,0.543,0,15157,0.457,1,深圳佳兆业,新疆天山雪豹
4,0.339,15,1,0.685,143,2,0,2,16,0,0.737,5,175,0.661,0,0,4,1,0,0.548,0,15157,0.452,2,深圳佳兆业,新疆天山雪豹
2,0.32,10,1,0.715,295,16,1,0,20,4,0.803,11,573,0.68,0,0,15,9,0,0.619,0,15159,0.381,2,武汉卓尔,黑龙江火山鸣泉
0,0.351,1,1,0.713,157,6,1,1,9,2,0.819,5,281,0.649,0,0,6,3,0,0.607,0,15159,0.393,0,武汉卓尔,黑龙江火山鸣泉
2,0.293,9,0,0.717,138,10,0,2,11,2,0.788,6,292,0.707,0,0,9,6,0,0.63,0,15159,0.37,2,武汉卓尔,黑龙江火山鸣泉
5,0.236,18,3,0.583,206,5,1,0,28,2,0.799,12,448,0.764,1,0,17,13,0,0.643,0,15160,0.357,9,青岛黄海制药,浙江毅腾
3,0.316,7,2,0.585,106,3,1,1,13,2,0.817,6,230,0.684,0,0,4,5,0,0.651,0,15160,0.349,1,青岛黄海制药,浙江毅腾
2,0.178,11,1,0.58,100,2,0,2,15,0,0.78,6,218,0.822,1,0,13,8,0,0.635,0,15160,0.365,8,青岛黄海制药,浙江毅腾
5,0.345,18,5,0.584,214,15,1,0,26,5,0.794,14,432,0.655,1,0,9,7,0,0.632,0,15164,0.368,3,梅县铁汉生态,梅州客家
1,0.326,8,3,0.578,102,11,1,1,13,4,0.825,7,234,0.674,1,0,5,2,0,0.655,0,15164,0.345,2,梅县铁汉生态,梅州客家
