homeShotsOutPenaltyArea,homeAttThSucPaAccuracy,homeAttThPass,guestAttThSucPaAccuracy,guestKeyPasses,guestBreakThrows,guestShots,half,guestAttThPass,homeShots,guestShotsOnTargetObox,guestShotsInPenaltyArea,guestShotsOutPenaltyArea,guestCenter,guestShotsOnTargetIbox,homeBreakThrows,matchHalf,homeShotsInPenaltyArea,matchId,homeShotsOnTargetObox,homeKeyPasses,homeShotsOnTargetIbox,homeCenter,l_team,r_team
4,0.739,88,0.729,10,7,16,0,59,12,0,11,5,21,4,4,0,8,17429,3,7,4,12,成都兴城人居,北京人和
1,0.649,37,0.812,7,3,10,1,32,4,0,5,5,12,2,3,0,3,17429,0,2,0,9,成都兴城人居,北京人和
3,0.804,51,0.63,3,4,6,2,27,8,0,6,0,9,2,1,0,5,17429,3,5,4,3,成都兴城人居,北京人和
6,0.614,44,0.538,2,3,6,0,65,8,0,4,2,13,2,2,0,2,17432,0,3,0,9,贵州恒丰,浙江能源绿城
0,0.625,16,0.605,1,2,4,1,38,1,0,3,1,8,2,2,0,1,17432,0,1,0,1,贵州恒丰,浙江能源绿城
6,0.607,28,0.444,1,1,2,2,27,7,0,1,1,5,0,0,0,1,17432,0,2,0,8,贵州恒丰,浙江能源绿城
10,0.81,121,0.727,5,6,8,0,55,17,1,4,4,7,0,4,0,7,17435,2,12,3,17,长春亚泰,黑龙江FC
5,0.818,88,0.667,2,5,3,1,24,9,0,1,2,4,0,1,0,4,17435,1,8,1,14,长春亚泰,黑龙江FC
5,0.788,33,0.774,3,1,5,2,31,8,1,3,2,3,0,3,0,3,17435,1,4,2,3,长春亚泰,黑龙江FC
5,0.621,66,0.628,9,1,19,0,113,11,5,2,17,19,0,4,0,6,17433,1,7,5,14,梅州客家,辽宁沈阳城市
2,0.633,30,0.682,2,0,6,1,44,5,1,2,4,7,0,3,0,3,17433,0,3,2,3,梅州客家,辽宁沈阳城市
3,0.611,36,0.594,7,1,13,2,69,6,4,0,13,12,0,1,0,3,17433,1,4,3,11,梅州客家,辽宁沈阳城市
3,0.585,53,0.705,7,1,10,0,44,9,2,2,8,11,1,2,0,6,17436,0,6,4,17,南通支云,新疆雪豹纳欢
3,0.75,24,0.774,6,1,6,1,31,5,0,2,4,5,1,1,0,2,17436,0,4,1,3,南通支云,新疆雪豹纳欢
0,0.448,29,0.538,1,0,4,2,13,4,2,0,4,6,0,1,0,4,17436,0,2,3,14,南通支云,新疆雪豹纳欢
4,0.57,79,0.642,6,6,9,0,53,11,1,2,7,9,2,16,0,7,17430,2,9,2,27,北京北体大,内蒙古中优
1,0.571,35,0.625,4,4,7,1,32,5,1,1,6,3,1,8,0,4,17430,1,5,1,13,北京北体大,内蒙古中优
3,0.568,44,0.667,2,2,2,2,21,6,0,1,1,6,1,8,0,3,17430,1,4,1,14,北京北体大,内蒙古中优
3,0.719,64,0.655,6,3,11,0,113,8,1,2,9,14,0,4,0,5,17431,2,3,2,7,泰州远大,苏州东吴
2,0.714,28,0.587,3,2,7,1,46,4,0,1,6,9,0,1,0,2,17431,2,1,2,2,泰州远大,苏州东吴
1,0.722,36,0.701,3,1,4,2,67,4,1,1,3,5,0,3,0,3,17431,0,2,0,5,泰州远大,苏州东吴
1,0.776,116,0.686,4,6,10,0,70,3,0,7,3,12,3,8,0,2,17437,0,2,0,23,四川优必选,昆山FC
1,0.756,45,0.744,3,4,7,1,43,3,0,5,2,5,2,5,0,2,17437,0,2,0,9,四川优必选,昆山FC
0,0.789,71,0.593,1,2,3,2,27,0,0,2,1,7,1,3,0,0,17437,0,0,0,14,四川优必选,昆山FC
6,0.653,147,0.61,1,8,5,0,41,13,0,2,3,9,1,4,0,7,17434,1,9,1,35,陕西大秦之水,江西联盛
3,0.692,78,0.615,0,4,2,1,26,6,0,1,1,5,1,3,0,3,17434,0,4,0,12,陕西大秦之水,江西联盛
3,0.609,69,0.6,1,4,3,2,15,7,0,1,2,4,0,1,0,4,17434,1,5,1,23,陕西大秦之水,江西联盛
3,0.651,43,0.8,6,1,9,0,70,15,2,1,8,10,0,2,0,12,17441,1,9,6,12,浙江能源绿城,江西联盛
2,0.658,38,0.818,4,1,4,1,33,9,1,1,3,5,0,0,0,7,17441,1,5,3,9,浙江能源绿城,江西联盛
1,0.6,5,0.784,2,0,5,2,37,6,1,0,5,5,0,2,0,5,17441,0,4,3,3,浙江能源绿城,江西联盛
10,0.636,110,0.723,11,7,14,0,101,15,1,8,6,19,3,5,0,5,17444,4,8,1,15,黑龙江FC,四川优必选
5,0.614,57,0.76,5,4,5,1,25,7,0,4,1,7,0,2,0,2,17444,2,5,1,6,黑龙江FC,四川优必选
5,0.66,53,0.711,6,3,9,2,76,8,1,4,5,12,3,3,0,3,17444,2,3,0,9,黑龙江FC,四川优必选
2,0.753,93,0.748,9,7,13,0,107,10,0,10,3,23,5,10,0,8,17438,0,8,4,18,成都兴城人居,北京北体大
1,0.765,51,0.775,3,4,5,1,40,6,0,3,2,6,2,7,0,5,17438,0,5,2,11,成都兴城人居,北京北体大
1,0.738,42,0.731,6,3,8,2,67,4,0,7,1,17,3,3,0,3,17438,0,3,2,7,成都兴城人居,北京北体大
6,0.611,36,0.683,11,4,16,0,126,9,4,7,9,31,0,11,0,3,17439,2,7,1,10,北京人和,苏州东吴
1,0.654,26,0.657,5,1,6,1,35,3,1,4,2,7,0,4,0,2,17439,0,3,0,7,北京人和,苏州东吴
5,0.5,10,0.692,6,3,10,2,91,6,3,3,7,24,0,7,0,1,17439,2,4,1,3,北京人和,苏州东吴
5,0.5,34,0.766,12,3,15,0,107,7,1,11,4,18,5,0,0,2,17442,0,2,1,10,辽宁沈阳城市,陕西大秦之水
1,0.714,7,0.773,5,0,6,1,66,3,0,4,2,11,2,0,0,2,17442,0,1,1,2,辽宁沈阳城市,陕西大秦之水
4,0.444,27,0.756,7,3,9,2,41,4,1,7,2,7,3,0,0,0,17442,0,1,0,8,辽宁沈阳城市,陕西大秦之水
2,0.587,104,0.576,8,12,9,0,59,6,0,7,2,19,0,20,0,4,17445,1,6,2,16,昆山FC,南通支云
1,0.608,51,0.606,2,9,3,1,33,1,0,1,2,10,0,13,0,0,17445,1,1,0,5,昆山FC,南通支云
1,0.566,53,0.538,6,3,6,2,26,5,0,6,0,9,0,7,0,4,17445,0,5,2,11,昆山FC,南通支云
3,0.561,41,0.686,5,8,8,0,121,5,2,4,4,20,1,6,0,2,17440,2,2,2,9,内蒙古中优,泰州远大
2,0.462,13,0.587,2,3,3,1,46,3,1,1,2,9,0,4,0,1,17440,2,0,1,3,内蒙古中优,泰州远大
1,0.607,28,0.747,3,5,5,2,75,2,1,3,2,11,1,2,0,1,17440,0,2,1,6,内蒙古中优,泰州远大
4,0.679,56,0.731,16,9,21,0,78,7,1,18,3,21,9,4,0,3,17446,0,4,0,15,新疆雪豹纳欢,长春亚泰
1,0.75,36,0.771,10,5,14,1,35,3,1,11,3,8,6,3,0,2,17446,0,3,0,11,新疆雪豹纳欢,长春亚泰
3,0.55,20,0.698,6,4,7,2,43,4,0,7,0,13,3,1,0,1,17446,0,1,0,4,新疆雪豹纳欢,长春亚泰
5,0.607,89,0.588,2,8,3,0,34,11,0,2,1,12,0,7,0,6,17443,1,8,1,20,梅州客家,贵州恒丰
1,0.541,37,0.455,0,6,1,1,11,4,0,0,1,4,0,5,0,3,17443,0,4,1,10,梅州客家,贵州恒丰
4,0.654,52,0.652,2,2,2,2,23,7,0,2,0,8,0,2,0,3,17443,1,4,0,10,梅州客家,贵州恒丰
8,0.673,104,0.787,8,9,10,0,75,14,1,4,6,10,2,7,0,6,17447,0,11,2,19,北京北体大,北京人和
3,0.722,36,0.827,4,5,5,1,52,4,1,2,3,7,1,5,0,1,17447,0,3,0,5,北京北体大,北京人和
5,0.647,68,0.696,4,4,5,2,23,10,0,2,3,3,1,2,0,5,17447,0,8,2,14,北京北体大,北京人和
4,0.529,34,0.684,11,4,13,0,98,6,1,10,3,23,6,4,0,2,17453,2,4,1,7,黑龙江FC,昆山FC
2,0.529,17,0.732,7,1,8,1,56,3,0,6,2,13,3,2,0,1,17453,1,2,1,4,黑龙江FC,昆山FC
2,0.529,17,0.619,4,3,5,2,42,3,1,4,1,10,3,2,0,1,17453,1,2,0,3,黑龙江FC,昆山FC
4,0.696,56,0.712,3,1,7,0,66,12,1,4,3,13,2,1,0,8,17450,1,8,5,17,陕西大秦之水,浙江能源绿城
0,0.731,26,0.714,3,1,4,1,35,2,0,4,0,8,2,0,0,2,17450,0,2,0,4,陕西大秦之水,浙江能源绿城
4,0.667,30,0.71,0,0,3,2,31,10,1,0,3,5,0,1,0,6,17450,1,6,5,13,陕西大秦之水,浙江能源绿城
4,0.751,169,0.65,5,6,8,0,40,9,3,5,3,4,2,7,0,5,17451,0,7,1,33,贵州恒丰,辽宁沈阳城市
1,0.6,40,0.632,1,4,2,1,19,3,0,2,0,3,2,4,0,2,17451,0,3,1,12,贵州恒丰,辽宁沈阳城市
3,0.798,129,0.667,4,2,6,2,21,6,3,3,3,1,0,3,0,3,17451,0,4,0,21,贵州恒丰,辽宁沈阳城市
2,0.511,45,0.564,9,6,12,0,94,5,0,3,9,25,1,4,0,3,17454,1,4,0,9,南通支云,长春亚泰
1,0.581,31,0.562,3,4,6,1,48,2,0,1,5,12,1,3,0,1,17454,0,1,0,5,南通支云,长春亚泰
1,0.357,14,0.565,6,2,6,2,46,3,0,2,4,13,0,1,0,2,17454,1,3,0,4,南通支云,长春亚泰
5,0.752,101,0.548,5,0,8,0,31,14,3,2,6,8,1,1,0,9,17448,3,14,3,20,苏州东吴,内蒙古中优
3,0.829,35,0.533,2,0,5,1,15,8,3,0,5,2,0,0,0,5,17448,1,8,2,8,苏州东吴,内蒙古中优
2,0.712,66,0.562,3,0,3,2,16,6,0,2,1,6,1,1,0,4,17448,2,6,1,12,苏州东吴,内蒙古中优
8,0.597,62,0.802,4,20,9,0,121,17,2,6,3,15,3,9,0,9,17449,2,10,2,17,泰州远大,成都兴城人居
4,0.645,31,0.8,1,5,3,1,85,11,0,2,1,10,1,4,0,7,17449,0,5,2,8,泰州远大,成都兴城人居
4,0.548,31,0.806,3,15,6,2,36,6,2,4,2,5,2,5,0,2,17449,2,5,0,9,泰州远大,成都兴城人居
2,0.609,46,0.649,13,4,19,0,94,4,1,16,3,21,7,6,0,2,17452,0,3,0,10,江西联盛,梅州客家
2,0.438,16,0.646,9,1,11,1,48,2,0,9,2,15,1,6,0,0,17452,0,1,0,6,江西联盛,梅州客家
0,0.7,30,0.652,4,3,8,2,46,2,1,7,1,6,6,0,0,2,17452,0,2,0,4,江西联盛,梅州客家
3,0.696,79,0.561,7,4,10,0,41,11,2,3,7,9,1,7,0,8,17455,1,10,4,12,四川优必选,新疆雪豹纳欢
1,0.704,54,0.421,1,1,2,1,19,4,1,0,2,3,0,6,0,3,17455,1,4,2,9,四川优必选,新疆雪豹纳欢
2,0.68,25,0.682,6,3,8,2,22,7,1,3,5,6,1,1,0,5,17455,0,6,2,3,四川优必选,新疆雪豹纳欢
7,0.691,55,0.5,4,4,5,0,74,13,0,4,1,17,1,2,0,6,17459,3,8,1,9,贵州恒丰,陕西大秦之水
5,0.593,27,0.526,2,1,3,1,38,9,0,2,1,12,1,0,0,4,17459,1,5,1,5,贵州恒丰,陕西大秦之水
2,0.786,28,0.472,2,3,2,2,36,4,0,2,0,5,0,2,0,2,17459,2,3,0,4,贵州恒丰,陕西大秦之水
6,0.673,110,0.523,3,3,7,0,44,12,1,4,3,12,1,4,0,6,17462,2,8,4,23,长春亚泰,昆山FC
3,0.678,59,0.48,2,1,2,1,25,7,0,2,0,6,0,1,0,4,17462,1,6,3,13,长春亚泰,昆山FC
3,0.667,51,0.579,1,2,5,2,19,5,1,2,3,6,1,3,0,2,17462,1,2,1,10,长春亚泰,昆山FC
8,0.632,87,0.818,8,6,12,0,88,13,0,10,2,12,3,8,0,5,17456,1,10,3,15,北京北体大,泰州远大
4,0.667,48,0.821,6,3,8,1,39,5,0,6,2,7,1,2,0,1,17456,1,5,1,5,北京北体大,泰州远大
4,0.59,39,0.816,2,3,4,2,49,8,0,4,0,5,2,6,0,4,17456,0,5,2,10,北京北体大,泰州远大
4,0.642,53,0.711,9,5,16,0,149,10,1,10,6,34,4,5,0,6,17463,1,6,3,12,南通支云,四川优必选
1,0.526,19,0.663,3,3,7,1,86,2,1,3,4,20,1,2,0,1,17463,0,1,1,2,南通支云,四川优必选
3,0.706,34,0.778,6,2,9,2,63,8,0,7,2,14,3,3,0,5,17463,1,5,2,10,南通支云,四川优必选
8,0.654,127,0.513,6,12,12,0,39,17,2,6,6,10,3,6,0,9,17457,2,13,4,34,北京人和,内蒙古中优
2,0.673,52,0.333,1,5,5,1,15,4,1,2,3,6,1,3,0,2,17457,1,4,1,11,北京人和,内蒙古中优
6,0.64,75,0.625,5,7,7,2,24,13,1,4,3,4,2,3,0,7,17457,1,9,3,23,北京人和,内蒙古中优
5,0.667,90,0.629,6,1,10,0,62,12,1,7,3,9,3,2,0,7,17460,1,8,3,21,辽宁沈阳城市,江西联盛
3,0.659,44,0.617,4,1,6,1,47,5,1,4,2,6,1,1,0,2,17460,0,2,2,5,辽宁沈阳城市,江西联盛
2,0.674,46,0.667,2,0,4,2,15,7,0,3,1,3,2,1,0,5,17460,1,6,1,16,辽宁沈阳城市,江西联盛
2,0.694,85,0.596,8,3,11,0,57,9,0,8,3,18,2,6,0,7,17458,1,6,5,12,成都兴城人居,苏州东吴
2,0.622,45,0.645,3,2,5,1,31,5,0,3,2,9,0,4,0,3,17458,1,5,2,10,成都兴城人居,苏州东吴
0,0.775,40,0.538,5,1,6,2,26,4,0,5,1,9,2,2,0,4,17458,0,1,3,2,成都兴城人居,苏州东吴
1,0.649,57,0.705,8,2,13,0,78,8,0,7,6,19,5,4,0,7,17461,0,6,4,16,梅州客家,浙江能源绿城
1,0.474,19,0.809,3,1,4,1,47,4,0,0,4,9,0,3,0,3,17461,0,3,2,11,梅州客家,浙江能源绿城
0,0.737,38,0.548,5,1,9,2,31,4,0,7,2,10,5,1,0,4,17461,0,3,2,5,梅州客家,浙江能源绿城
5,0.711,45,0.537,5,11,9,0,54,11,0,4,5,21,1,7,0,6,17464,1,6,4,6,新疆雪豹纳欢,黑龙江FC
4,0.643,14,0.567,2,5,5,1,30,7,0,2,3,13,0,2,0,3,17464,0,4,2,3,新疆雪豹纳欢,黑龙江FC
1,0.742,31,0.5,3,6,4,2,24,4,0,2,2,8,1,5,0,3,17464,1,2,2,3,新疆雪豹纳欢,黑龙江FC
2,0.787,75,0.62,7,3,13,0,92,5,1,8,5,28,1,3,0,3,17465,0,3,1,6,泰州远大,北京人和
2,0.833,54,0.667,4,1,8,1,33,4,1,4,4,9,0,1,0,2,17465,0,3,0,3,泰州远大,北京人和
0,0.667,21,0.593,3,2,5,2,59,1,0,4,1,19,1,2,0,1,17465,0,0,1,3,泰州远大,北京人和
3,0.709,55,0.677,9,5,14,0,93,8,1,10,4,15,5,2,0,5,17468,1,6,2,9,江西联盛,贵州恒丰
2,0.833,30,0.614,3,2,4,1,44,3,0,4,0,8,2,2,0,1,17468,1,3,1,6,江西联盛,贵州恒丰
1,0.56,25,0.735,6,3,10,2,49,5,1,6,4,7,3,0,0,4,17468,0,3,1,3,江西联盛,贵州恒丰
2,0.742,62,0.644,9,5,16,0,90,7,2,8,8,11,2,6,0,5,17471,0,5,2,4,四川优必选,长春亚泰
0,0.652,23,0.656,6,1,8,1,61,2,0,4,4,8,0,4,0,2,17471,0,2,0,0,四川优必选,长春亚泰
2,0.795,39,0.621,3,4,8,2,29,5,2,4,4,3,2,2,0,3,17471,0,3,2,4,四川优必选,长春亚泰
7,0.633,79,0.627,10,10,13,0,67,12,0,11,2,17,3,5,0,5,17469,2,8,1,13,陕西大秦之水,梅州客家
2,0.727,33,0.6,3,5,4,1,35,2,0,4,0,10,1,2,0,0,17469,0,1,0,2,陕西大秦之水,梅州客家
5,0.565,46,0.656,7,5,9,2,32,10,0,7,2,7,2,3,0,5,17469,2,7,1,11,陕西大秦之水,梅州客家
3,0.643,56,0.627,9,5,13,0,75,7,3,3,10,10,2,12,0,4,17472,1,3,4,11,昆山FC,新疆雪豹纳欢
0,0.568,37,0.667,3,3,4,1,36,1,3,0,4,3,0,3,0,1,17472,0,0,1,9,昆山FC,新疆雪豹纳欢
3,0.789,19,0.59,6,2,9,2,39,6,0,3,6,7,2,9,0,3,17472,1,3,3,2,昆山FC,新疆雪豹纳欢
5,0.766,64,0.807,7,5,11,0,88,5,2,8,3,15,4,9,0,0,17466,0,3,0,9,内蒙古中优,成都兴城人居
1,0.783,23,0.831,4,2,6,1,65,1,1,5,1,9,4,4,0,0,17466,0,1,0,3,内蒙古中优,成都兴城人居
4,0.756,41,0.739,3,3,5,2,23,4,1,3,2,6,0,5,0,0,17466,0,2,0,6,内蒙古中优,成都兴城人居
7,0.632,87,0.595,2,2,5,0,42,11,0,3,2,9,2,8,0,4,17473,2,8,1,23,黑龙江FC,南通支云
3,0.571,28,0.68,2,2,5,1,25,6,0,3,2,4,2,3,0,3,17473,1,5,1,6,黑龙江FC,南通支云
4,0.661,59,0.471,0,0,0,2,17,5,0,0,0,5,0,5,0,1,17473,1,3,0,17,黑龙江FC,南通支云
3,0.661,115,0.697,2,4,6,0,33,6,1,4,2,9,3,0,0,3,17467,1,4,2,26,苏州东吴,北京北体大
1,0.636,55,0.75,2,1,5,1,16,1,1,3,2,5,2,0,0,0,17467,1,0,0,10,苏州东吴,北京北体大
2,0.683,60,0.647,0,3,1,2,17,5,0,1,0,4,1,0,0,3,17467,0,4,2,16,苏州东吴,北京北体大
