guestShotsBlocks,guestIntercepttions,guestRedCard,guestYellowCard,half,homeYellowCard,homeTacklesConneceded,guestPassBlocks,homePassBlocks,homeClearances,matchHalf,homeRedCard,guestTackles,homeShotsBlocks,homeFoul,guestFoul,matchId,homeIntercepttions,homeTackles,guestClearances,guestTacklesConneceded,l_team,r_team
1,11,0,4,0,2,0,9,9,26,0,0,12,5,17,27,17429,15,10,11,0,成都兴城人居,北京人和
0,5,0,3,1,1,0,6,6,12,0,0,4,4,8,13,17429,7,8,7,0,成都兴城人居,北京人和
1,6,0,1,2,1,0,3,3,14,0,0,8,1,9,14,17429,8,2,4,0,成都兴城人居,北京人和
3,13,0,2,0,4,0,4,7,33,0,0,10,0,24,30,17432,9,8,16,0,贵州恒丰,浙江能源绿城
0,8,0,1,1,2,0,1,4,20,0,0,7,0,14,12,17432,7,6,5,0,贵州恒丰,浙江能源绿城
3,5,0,1,2,2,0,3,3,13,0,0,3,0,10,18,17432,2,2,11,0,贵州恒丰,浙江能源绿城
4,16,0,0,0,1,0,3,6,18,0,0,15,1,15,11,17435,20,13,13,0,长春亚泰,黑龙江FC
2,8,0,0,1,0,0,2,6,10,0,0,11,0,8,4,17435,10,8,6,0,长春亚泰,黑龙江FC
2,8,0,0,2,1,0,1,0,8,0,0,4,1,7,7,17435,10,5,7,0,长春亚泰,黑龙江FC
2,9,0,2,0,6,0,4,7,35,0,0,6,6,17,13,17433,4,5,17,0,梅州客家,辽宁沈阳城市
0,2,0,1,1,3,0,2,1,15,0,0,6,2,9,7,17433,2,2,6,0,梅州客家,辽宁沈阳城市
2,7,0,1,2,3,0,2,6,20,0,0,0,4,8,6,17433,2,3,11,0,梅州客家,辽宁沈阳城市
1,1,0,2,0,0,0,4,7,13,0,0,6,1,20,19,17436,2,6,8,0,南通支云,新疆雪豹纳欢
1,0,0,0,1,0,0,2,3,3,0,0,3,0,7,8,17436,1,4,4,0,南通支云,新疆雪豹纳欢
0,1,0,2,2,0,0,2,4,10,0,0,3,1,13,11,17436,1,2,4,0,南通支云,新疆雪豹纳欢
0,7,0,2,0,2,0,11,5,13,0,0,17,2,20,11,17430,3,10,21,0,北京北体大,内蒙古中优
0,3,0,0,1,0,0,5,3,6,0,0,8,1,9,5,17430,1,7,9,0,北京北体大,内蒙古中优
0,4,0,2,2,2,0,6,2,7,0,0,9,1,11,6,17430,2,3,12,0,北京北体大,内蒙古中优
1,3,0,1,0,3,0,6,5,19,0,0,13,5,18,14,17431,10,13,18,0,泰州远大,苏州东吴
0,0,0,1,1,0,0,4,3,12,0,0,2,4,10,6,17431,3,7,8,0,泰州远大,苏州东吴
1,3,0,0,2,3,0,2,2,7,0,0,11,1,8,8,17431,7,6,10,0,泰州远大,苏州东吴
1,5,0,1,0,2,0,9,11,12,0,0,10,1,28,12,17437,3,10,18,0,四川优必选,昆山FC
1,3,0,0,1,1,0,5,2,10,0,0,5,1,15,3,17437,1,6,8,0,四川优必选,昆山FC
0,2,0,1,2,1,0,4,9,2,0,0,5,0,13,9,17437,2,4,10,0,四川优必选,昆山FC
5,9,0,3,0,3,0,12,8,14,0,0,8,1,14,15,17434,5,5,32,0,陕西大秦之水,江西联盛
2,4,0,2,1,1,0,7,5,8,0,0,3,0,5,6,17434,1,4,15,0,陕西大秦之水,江西联盛
3,5,0,1,2,2,0,5,3,6,0,0,5,1,9,9,17434,4,1,17,0,陕西大秦之水,江西联盛
2,1,0,2,0,0,0,5,9,14,0,0,8,3,16,10,17441,6,6,15,0,浙江能源绿城,江西联盛
2,1,0,1,1,0,0,4,5,8,0,0,3,1,5,4,17441,5,4,13,0,浙江能源绿城,江西联盛
0,0,0,1,2,0,0,1,4,6,0,0,5,2,11,6,17441,1,2,2,0,浙江能源绿城,江西联盛
3,9,0,2,0,0,0,11,10,20,0,0,14,3,12,19,17444,10,8,37,0,黑龙江FC,四川优必选
0,5,0,1,1,0,0,8,5,8,0,0,5,0,9,10,17444,6,4,17,0,黑龙江FC,四川优必选
3,4,0,1,2,0,0,3,5,12,0,0,9,3,3,9,17444,4,4,20,0,黑龙江FC,四川优必选
3,5,0,1,0,2,0,10,6,20,0,0,9,5,10,15,17438,4,11,20,0,成都兴城人居,北京北体大
2,1,0,0,1,1,0,5,3,6,0,0,4,1,4,7,17438,1,8,11,0,成都兴城人居,北京北体大
1,4,0,1,2,1,0,5,3,14,0,0,5,4,6,8,17438,3,3,9,0,成都兴城人居,北京北体大
1,6,0,1,0,1,0,6,9,35,0,1,15,3,16,15,17439,12,10,13,0,北京人和,苏州东吴
1,4,0,0,1,2,0,2,4,11,0,0,8,1,8,9,17439,7,5,10,0,北京人和,苏州东吴
0,2,0,1,2,0,0,4,5,24,0,1,7,2,8,6,17439,5,5,3,0,北京人和,苏州东吴
2,3,0,2,0,2,0,3,11,18,0,0,9,4,17,21,17442,5,8,9,0,辽宁沈阳城市,陕西大秦之水
1,3,0,1,1,1,0,3,6,10,0,0,6,1,7,7,17442,4,7,0,0,辽宁沈阳城市,陕西大秦之水
1,0,0,1,2,1,0,0,5,8,0,0,3,3,10,14,17442,1,1,9,0,辽宁沈阳城市,陕西大秦之水
2,8,1,0,0,1,0,16,8,20,0,0,16,1,9,16,17445,13,16,24,0,昆山FC,南通支云
0,4,0,0,1,0,0,6,4,9,0,0,11,1,4,11,17445,5,12,8,0,昆山FC,南通支云
2,4,1,0,2,1,0,10,4,11,0,0,5,0,5,5,17445,8,4,16,0,昆山FC,南通支云
0,7,0,3,0,4,0,5,8,27,0,0,7,2,23,27,17440,6,15,6,0,内蒙古中优,泰州远大
0,2,0,1,1,1,0,1,6,14,0,0,3,1,8,16,17440,3,8,2,0,内蒙古中优,泰州远大
0,5,0,2,2,3,0,4,2,13,0,0,4,1,15,11,17440,3,7,4,0,内蒙古中优,泰州远大
4,21,0,1,0,2,0,7,5,25,0,1,12,6,15,14,17446,15,12,20,0,新疆雪豹纳欢,长春亚泰
2,12,0,0,1,1,0,2,2,11,0,1,6,5,7,5,17446,8,6,8,0,新疆雪豹纳欢,长春亚泰
2,9,0,1,2,1,0,5,3,14,0,0,6,1,8,9,17446,7,6,12,0,新疆雪豹纳欢,长春亚泰
3,5,0,2,0,0,0,5,1,10,0,0,14,1,17,16,17443,6,15,39,0,梅州客家,贵州恒丰
1,2,0,1,1,0,0,4,1,5,0,0,6,0,11,6,17443,3,8,19,0,梅州客家,贵州恒丰
2,3,0,1,2,0,0,1,0,5,0,0,8,1,6,10,17443,3,7,20,0,梅州客家,贵州恒丰
3,4,0,2,0,2,0,10,9,8,0,0,17,3,16,16,17447,0,10,30,0,北京北体大,北京人和
1,0,0,0,1,1,0,6,5,5,0,0,11,1,7,7,17447,0,3,14,0,北京北体大,北京人和
2,4,0,2,2,1,0,4,4,3,0,0,6,2,9,9,17447,0,7,16,0,北京北体大,北京人和
0,5,0,2,0,3,0,4,6,18,0,0,16,0,18,13,17453,7,10,9,0,黑龙江FC,昆山FC
0,4,0,0,1,1,0,3,4,12,0,0,7,0,10,6,17453,4,6,6,0,黑龙江FC,昆山FC
0,1,0,2,2,2,0,1,2,6,0,0,9,0,8,7,17453,3,4,3,0,黑龙江FC,昆山FC
5,4,0,2,0,3,0,4,6,16,0,0,13,0,18,27,17450,3,5,21,0,陕西大秦之水,浙江能源绿城
1,4,0,1,1,3,0,4,2,8,0,0,7,0,12,15,17450,0,3,8,0,陕西大秦之水,浙江能源绿城
4,0,0,1,2,0,0,0,4,8,0,0,6,0,6,12,17450,3,2,13,0,陕西大秦之水,浙江能源绿城
5,9,0,2,0,3,0,8,2,9,0,0,8,1,13,20,17451,3,8,24,0,贵州恒丰,辽宁沈阳城市
1,5,0,1,1,1,0,3,1,4,0,0,4,0,8,12,17451,2,4,5,0,贵州恒丰,辽宁沈阳城市
4,4,0,1,2,2,0,5,1,5,0,0,4,1,5,8,17451,1,4,19,0,贵州恒丰,辽宁沈阳城市
2,9,0,2,0,1,0,6,16,35,0,0,6,3,21,22,17454,11,11,15,0,南通支云,长春亚泰
1,4,0,1,1,1,0,4,8,21,0,0,3,2,10,14,17454,3,4,10,0,南通支云,长春亚泰
1,5,0,1,2,0,0,2,8,14,0,0,3,1,11,8,17454,8,7,5,0,南通支云,长春亚泰
1,9,0,0,0,1,0,2,3,6,0,0,16,3,17,15,17448,3,13,11,0,苏州东吴,内蒙古中优
1,5,0,0,1,0,0,1,0,4,0,0,10,1,9,7,17448,2,4,2,0,苏州东吴,内蒙古中优
0,4,0,0,2,1,0,1,3,2,0,0,6,2,8,8,17448,1,9,9,0,苏州东吴,内蒙古中优
5,7,0,2,0,2,0,7,9,16,0,0,14,2,21,17,17449,10,15,20,0,泰州远大,成都兴城人居
3,5,0,0,1,1,0,3,7,10,0,0,7,1,8,8,17449,5,9,9,0,泰州远大,成都兴城人居
2,2,0,2,2,1,0,4,2,6,0,0,7,1,13,9,17449,5,6,11,0,泰州远大,成都兴城人居
0,6,0,1,0,1,0,4,19,16,0,0,14,5,10,20,17452,3,10,18,0,江西联盛,梅州客家
0,4,0,1,1,0,0,1,10,14,0,0,8,4,1,12,17452,1,7,8,0,江西联盛,梅州客家
0,2,0,0,2,1,0,3,9,2,0,0,6,1,9,8,17452,2,3,10,0,江西联盛,梅州客家
1,29,0,2,0,3,0,13,6,15,0,0,23,3,20,17,17455,18,20,20,0,四川优必选,新疆雪豹纳欢
0,10,0,0,1,1,0,8,4,4,0,0,12,1,7,10,17455,7,11,13,0,四川优必选,新疆雪豹纳欢
1,19,0,2,2,2,0,5,2,11,0,0,11,2,13,7,17455,11,9,7,0,四川优必选,新疆雪豹纳欢
8,7,1,0,0,6,0,6,7,19,0,0,7,1,17,13,17459,4,13,9,0,贵州恒丰,陕西大秦之水
6,3,0,0,1,1,0,3,4,9,0,0,3,1,8,4,17459,3,9,4,0,贵州恒丰,陕西大秦之水
2,4,1,0,2,5,0,3,3,10,0,0,4,0,9,9,17459,1,4,5,0,贵州恒丰,陕西大秦之水
4,3,0,1,0,3,0,5,9,14,0,0,10,1,14,13,17462,9,7,36,0,长春亚泰,昆山FC
3,3,0,0,1,1,0,2,7,6,0,0,3,1,3,2,17462,5,5,17,0,长春亚泰,昆山FC
1,0,0,1,2,2,0,3,2,8,0,0,7,0,11,11,17462,4,2,19,0,长春亚泰,昆山FC
5,21,0,3,0,1,0,10,8,11,0,0,19,2,18,16,17456,13,17,16,0,北京北体大,泰州远大
2,13,0,1,1,0,0,3,4,6,0,0,10,2,6,10,17456,6,11,7,0,北京北体大,泰州远大
3,8,0,2,2,1,0,7,4,5,0,0,9,0,12,6,17456,7,6,9,0,北京北体大,泰州远大
2,5,0,2,0,3,0,3,8,44,0,0,15,5,19,23,17463,11,10,12,0,南通支云,四川优必选
0,4,0,0,1,1,0,0,5,28,0,0,3,2,8,13,17463,8,5,4,0,南通支云,四川优必选
2,1,0,2,2,2,0,3,3,16,0,0,12,3,11,10,17463,3,5,8,0,南通支云,四川优必选
4,16,0,4,0,2,0,10,3,13,0,0,22,1,20,14,17457,19,14,31,0,北京人和,内蒙古中优
0,9,0,1,1,1,0,4,2,9,0,0,14,1,12,7,17457,10,7,10,0,北京人和,内蒙古中优
4,7,0,3,2,1,0,6,1,4,0,0,8,0,8,7,17457,9,7,21,0,北京人和,内蒙古中优
2,3,0,2,0,4,0,9,8,18,0,0,9,3,15,17,17460,7,5,22,0,辽宁沈阳城市,江西联盛
1,3,0,1,1,1,0,5,6,13,0,0,5,2,8,7,17460,4,3,7,0,辽宁沈阳城市,江西联盛
1,0,0,1,2,3,0,4,2,5,0,0,4,1,7,10,17460,3,2,15,0,辽宁沈阳城市,江西联盛
0,9,1,1,0,2,0,7,8,13,0,1,16,1,15,24,17458,5,10,13,0,成都兴城人居,苏州东吴
0,4,0,1,1,1,0,4,5,7,0,0,9,0,6,13,17458,1,5,12,0,成都兴城人居,苏州东吴
0,5,1,0,2,1,0,3,3,6,0,1,7,1,9,11,17458,4,5,1,0,成都兴城人居,苏州东吴
1,0,0,1,0,4,0,11,4,16,0,0,12,3,22,15,17461,3,8,11,0,梅州客家,浙江能源绿城
1,0,0,1,1,3,0,7,2,7,0,0,5,1,12,7,17461,2,6,8,0,梅州客家,浙江能源绿城
0,0,0,0,2,1,0,4,2,9,0,0,7,2,10,8,17461,1,2,3,0,梅州客家,浙江能源绿城
0,15,0,1,0,1,0,8,5,28,0,0,21,2,17,16,17464,16,22,12,0,新疆雪豹纳欢,黑龙江FC
0,7,0,0,1,0,0,4,2,17,0,0,7,2,5,6,17464,5,12,4,0,新疆雪豹纳欢,黑龙江FC
0,8,0,1,2,1,0,4,3,11,0,0,14,0,12,10,17464,11,10,8,0,新疆雪豹纳欢,黑龙江FC
1,4,0,1,0,1,0,2,9,19,0,0,17,1,20,15,17465,9,7,6,0,泰州远大,北京人和
1,3,0,0,1,0,0,0,3,7,0,0,13,0,8,5,17465,6,4,4,0,泰州远大,北京人和
0,1,0,1,2,1,0,2,6,12,0,0,4,1,12,10,17465,3,3,2,0,泰州远大,北京人和
2,9,0,1,0,3,0,7,9,21,0,0,9,2,18,17,17468,5,11,15,0,江西联盛,贵州恒丰
1,6,0,0,1,2,0,1,5,15,0,0,5,0,10,9,17468,3,5,11,0,江西联盛,贵州恒丰
1,3,0,1,2,1,0,6,4,6,0,0,4,2,8,8,17468,2,6,4,0,江西联盛,贵州恒丰
0,6,0,2,0,4,0,6,7,19,0,0,18,3,21,14,17471,9,7,3,0,四川优必选,长春亚泰
0,4,0,1,1,3,0,3,6,13,0,0,11,2,9,8,17471,7,3,1,0,四川优必选,长春亚泰
0,2,0,1,2,1,0,3,1,6,0,0,7,1,12,6,17471,2,4,2,0,四川优必选,长春亚泰
2,9,0,2,0,3,0,12,5,23,0,0,18,4,19,18,17469,6,9,21,0,陕西大秦之水,梅州客家
0,4,0,1,1,2,0,3,3,14,0,0,7,1,7,10,17469,4,2,6,0,陕西大秦之水,梅州客家
2,5,0,1,2,1,0,9,2,9,0,0,11,3,12,8,17469,2,7,15,0,陕西大秦之水,梅州客家
2,15,0,2,0,2,0,11,14,18,0,0,19,2,14,18,17472,13,23,17,0,昆山FC,新疆雪豹纳欢
0,8,0,0,1,1,0,10,7,4,0,0,7,0,7,7,17472,6,6,12,0,昆山FC,新疆雪豹纳欢
2,7,0,2,2,1,0,1,7,14,0,0,12,2,7,11,17472,7,17,5,0,昆山FC,新疆雪豹纳欢
2,16,0,1,0,4,0,4,2,14,0,0,15,1,25,23,17466,12,17,17,0,内蒙古中优,成都兴城人居
1,7,0,1,1,2,0,2,2,8,0,0,7,0,7,11,17466,7,11,8,0,内蒙古中优,成都兴城人居
1,9,0,0,2,2,0,2,0,6,0,0,8,1,18,12,17466,5,6,9,0,内蒙古中优,成都兴城人居
1,11,0,4,0,2,0,12,3,12,0,1,12,1,18,20,17473,4,8,21,0,黑龙江FC,南通支云
0,5,0,2,1,2,0,4,2,6,0,0,3,1,7,9,17473,2,4,9,0,黑龙江FC,南通支云
1,6,0,2,2,1,0,8,1,6,0,1,9,0,11,11,17473,2,4,12,0,黑龙江FC,南通支云
1,14,0,2,0,1,0,10,6,7,0,1,13,1,14,23,17467,10,14,20,0,苏州东吴,北京北体大
0,6,0,1,1,0,0,7,4,3,0,0,6,1,5,14,17467,5,7,6,0,苏州东吴,北京北体大
1,8,0,1,2,1,0,3,2,4,0,1,7,0,9,9,17467,5,7,14,0,苏州东吴,北京北体大
4,4,0,2,0,3,0,5,7,7,0,0,9,1,16,10,17470,2,12,18,0,浙江能源绿城,辽宁沈阳城市
3,1,0,0,1,0,0,3,4,4,0,0,5,1,7,5,17470,1,5,13,0,浙江能源绿城,辽宁沈阳城市
1,3,0,2,2,3,0,2,3,3,0,0,4,0,9,5,17470,1,7,5,0,浙江能源绿城,辽宁沈阳城市
8,11,0,1,0,2,0,3,6,17,0,0,8,2,17,23,17474,8,12,20,0,内蒙古中优,北京北体大
6,9,0,0,1,1,0,1,4,5,0,0,5,0,6,12,17474,3,9,11,0,内蒙古中优,北京北体大
2,2,0,1,2,1,0,2,2,12,0,0,3,2,11,11,17474,5,3,9,0,内蒙古中优,北京北体大
1,18,0,1,0,1,0,11,3,13,0,0,13,1,12,21,17480,13,14,42,0,新疆雪豹纳欢,南通支云
1,11,0,0,1,1,0,5,1,4,0,0,7,0,7,7,17480,8,6,25,0,新疆雪豹纳欢,南通支云
0,7,0,1,2,0,0,6,2,9,0,0,6,1,5,14,17480,5,8,17,0,新疆雪豹纳欢,南通支云
2,9,0,1,0,1,0,6,9,41,0,0,17,6,18,10,17481,6,17,13,0,黑龙江FC,长春亚泰
2,5,0,0,1,1,0,3,6,16,0,0,9,2,8,4,17481,0,12,8,0,黑龙江FC,长春亚泰
0,4,0,1,2,0,0,3,3,25,0,0,8,4,10,6,17481,6,5,5,0,黑龙江FC,长春亚泰
2,10,0,2,0,3,0,6,10,18,0,0,7,3,21,12,17477,4,15,12,0,辽宁沈阳城市,梅州客家
1,5,0,1,1,1,0,1,3,6,0,0,4,0,6,4,17477,1,7,7,0,辽宁沈阳城市,梅州客家
1,5,0,1,2,2,0,5,7,12,0,0,3,3,15,8,17477,3,8,5,0,辽宁沈阳城市,梅州客家
0,7,0,1,0,3,0,10,8,27,0,0,13,4,22,15,17475,9,15,9,0,北京人和,成都兴城人居
0,5,0,1,1,0,0,8,4,4,0,0,9,1,8,6,17475,3,11,6,0,北京人和,成都兴城人居
0,2,0,0,2,3,0,2,4,23,0,0,4,3,14,9,17475,6,4,3,0,北京人和,成都兴城人居
2,6,0,1,0,4,0,7,7,22,0,0,3,1,14,11,17478,10,13,11,0,浙江能源绿城,贵州恒丰
1,3,0,1,1,2,0,5,2,8,0,0,2,0,7,4,17478,6,6,9,0,浙江能源绿城,贵州恒丰
1,3,0,0,2,2,0,2,5,14,0,0,1,1,7,7,17478,4,7,2,0,浙江能源绿城,贵州恒丰
4,9,0,4,0,3,0,8,8,25,0,0,14,4,16,19,17476,15,17,17,0,苏州东吴,泰州远大
2,3,0,1,1,2,0,5,2,6,0,0,5,1,7,9,17476,5,8,8,0,苏州东吴,泰州远大
2,6,0,3,2,1,0,3,6,19,0,0,9,3,9,10,17476,10,9,9,0,苏州东吴,泰州远大
2,3,0,3,0,4,0,4,6,15,0,0,12,3,17,20,17482,1,16,13,0,昆山FC,四川优必选
1,2,0,1,1,1,0,3,3,7,0,0,5,1,10,10,17482,1,8,4,0,昆山FC,四川优必选
1,1,0,2,2,3,0,1,3,8,0,0,7,2,7,10,17482,0,8,9,0,昆山FC,四川优必选
2,5,0,2,0,3,0,6,3,8,0,0,11,2,20,18,17479,6,5,34,0,江西联盛,陕西大秦之水
1,3,0,1,1,1,0,2,1,3,0,0,3,2,10,9,17479,4,2,14,0,江西联盛,陕西大秦之水
1,2,0,1,2,2,0,4,2,5,0,0,8,0,10,9,17479,2,3,20,0,江西联盛,陕西大秦之水
2,5,0,1,0,0,0,4,7,8,0,0,7,1,22,14,17483,8,11,15,0,北京北体大,成都兴城人居
2,0,0,1,1,0,0,1,3,4,0,0,2,0,12,9,17483,7,5,6,0,北京北体大,成都兴城人居
0,5,0,0,2,0,0,3,4,4,0,0,5,1,10,5,17483,1,6,9,0,北京北体大,成都兴城人居
2,6,0,2,0,2,0,15,12,16,0,0,11,6,10,16,17489,4,16,39,0,长春亚泰,新疆雪豹纳欢
1,3,0,1,1,1,0,11,5,4,0,0,5,2,5,9,17489,0,6,26,0,长春亚泰,新疆雪豹纳欢
1,3,0,1,2,1,0,4,7,12,0,0,6,4,5,7,17489,4,10,13,0,长春亚泰,新疆雪豹纳欢
7,18,1,3,0,3,0,6,3,15,0,0,12,1,16,24,17486,20,11,33,0,贵州恒丰,梅州客家
2,11,0,0,1,1,0,4,1,8,0,0,6,1,5,11,17486,10,7,17,0,贵州恒丰,梅州客家
5,7,1,3,2,2,0,2,2,7,0,0,6,0,11,13,17486,10,4,16,0,贵州恒丰,梅州客家
2,9,0,1,0,1,0,10,5,8,0,0,14,1,17,15,17484,4,7,18,0,苏州东吴,北京人和
2,5,0,1,1,1,0,5,1,4,0,0,4,1,9,6,17484,0,5,6,0,苏州东吴,北京人和
0,4,0,0,2,0,0,5,4,4,0,0,10,0,8,9,17484,4,2,12,0,苏州东吴,北京人和
1,12,0,1,0,4,0,6,12,13,0,0,17,2,24,14,17490,13,17,12,0,四川优必选,黑龙江FC
1,4,0,1,1,1,0,4,5,4,0,0,8,0,7,8,17490,9,7,6,0,四川优必选,黑龙江FC
0,8,0,0,2,3,0,2,7,9,0,0,9,2,17,6,17490,4,10,6,0,四川优必选,黑龙江FC
0,2,0,1,0,1,0,4,3,20,0,0,8,2,12,13,17487,3,6,3,0,江西联盛,浙江能源绿城
0,1,0,1,1,0,0,3,2,11,0,0,5,0,6,8,17487,2,3,1,0,江西联盛,浙江能源绿城
0,1,0,0,2,1,0,1,1,9,0,0,3,2,6,5,17487,1,3,2,0,江西联盛,浙江能源绿城
1,8,0,1,0,2,0,12,10,28,0,0,15,1,26,15,17485,2,14,16,0,泰州远大,内蒙古中优
0,2,0,0,1,2,0,6,4,13,0,0,8,1,13,12,17485,0,9,4,0,泰州远大,内蒙古中优
1,6,0,1,2,0,0,6,6,15,0,0,7,0,13,3,17485,2,5,12,0,泰州远大,内蒙古中优
4,3,0,1,0,1,0,4,11,19,0,0,9,0,11,11,17488,8,6,17,0,陕西大秦之水,辽宁沈阳城市
1,2,0,0,1,0,0,3,4,8,0,0,4,0,4,4,17488,4,4,9,0,陕西大秦之水,辽宁沈阳城市
3,1,0,1,2,1,0,1,7,11,0,0,5,0,7,7,17488,4,2,8,0,陕西大秦之水,辽宁沈阳城市
1,4,0,4,0,0,0,11,7,22,0,0,13,4,17,19,17491,9,17,20,0,南通支云,昆山FC
0,2,0,1,1,0,0,6,4,13,0,0,6,2,10,9,17491,5,11,11,0,南通支云,昆山FC
1,2,0,3,2,0,0,5,3,9,0,0,7,2,7,10,17491,4,6,9,0,南通支云,昆山FC
