homeShotsOutPenaltyArea,homeAttThSucPaAccuracy,homeAttThPass,guestAttThSucPaAccuracy,guestKeyPasses,guestBreakThrows,guestShots,half,guestAttThPass,homeShots,guestShotsOnTargetObox,guestShotsInPenaltyArea,guestShotsOutPenaltyArea,guestCenter,guestShotsOnTargetIbox,homeBreakThrows,matchHalf,homeShotsInPenaltyArea,matchId,homeShotsOnTargetObox,homeKeyPasses,homeShotsOnTargetIbox,homeCenter,l_team,r_team
2,0.8,90,0.56,10,8,14,0,91,10,1,7,7,31,0,6,0,8,17301,0,7,3,7,广州恒大淘宝,上海绿地申花
0,0.733,30,0.469,3,3,6,1,49,4,1,3,3,17,0,4,0,4,17301,0,2,1,4,广州恒大淘宝,上海绿地申花
2,0.833,60,0.667,7,5,8,2,42,6,0,4,4,14,0,2,0,4,17301,0,5,2,3,广州恒大淘宝,上海绿地申花
3,0.618,68,0.576,1,7,4,0,59,8,0,2,2,13,0,8,0,5,17302,1,4,2,18,武汉卓尔,青岛黄海青港
0,0.562,32,0.556,0,3,1,1,27,1,0,0,1,7,0,5,0,1,17302,0,0,0,8,武汉卓尔,青岛黄海青港
3,0.667,36,0.594,1,4,3,2,32,7,0,2,1,6,0,3,0,4,17302,1,4,2,10,武汉卓尔,青岛黄海青港
4,0.633,98,0.707,7,6,15,0,133,12,1,7,8,25,3,6,0,8,17303,0,6,3,23,大连人,山东鲁能泰山
2,0.579,38,0.693,2,2,6,1,75,4,1,2,4,16,0,4,0,2,17303,0,1,1,7,大连人,山东鲁能泰山
2,0.667,60,0.724,5,4,9,2,58,8,0,5,4,9,3,2,0,6,17303,0,5,2,16,大连人,山东鲁能泰山
4,0.694,85,0.865,6,4,9,0,104,15,2,6,3,12,0,2,0,11,17304,1,11,4,18,深圳佳兆业,广州富力
3,0.64,50,0.846,3,2,5,1,39,9,1,4,1,4,0,1,0,6,17304,1,7,1,15,深圳佳兆业,广州富力
1,0.771,35,0.877,3,2,4,2,65,6,1,2,2,8,0,1,0,5,17304,0,4,3,3,深圳佳兆业,广州富力
4,0.612,49,0.67,9,6,12,0,100,8,3,7,5,23,1,7,0,4,17305,2,3,2,11,河北华夏幸福,石家庄永昌
2,0.649,37,0.61,2,3,4,1,41,3,1,2,2,9,0,4,0,1,17305,0,0,1,5,河北华夏幸福,石家庄永昌
2,0.5,12,0.712,7,3,8,2,59,5,2,5,3,14,1,3,0,3,17305,2,3,1,6,河北华夏幸福,石家庄永昌
9,0.576,59,0.596,4,4,7,0,52,15,1,4,3,15,2,1,0,6,17306,0,8,2,20,重庆当代,北京中赫国安
1,0.278,18,0.607,3,2,4,1,28,2,0,3,1,9,1,1,0,1,17306,0,0,0,5,重庆当代,北京中赫国安
8,0.707,41,0.583,1,2,3,2,24,13,1,1,2,6,1,0,0,5,17306,0,8,2,15,重庆当代,北京中赫国安
5,0.659,88,0.671,7,11,14,0,82,9,3,8,6,18,4,6,0,4,17307,1,3,2,23,河南建业,江苏苏宁易购
3,0.636,33,0.531,5,0,7,1,32,6,1,3,4,8,0,0,0,3,17307,0,2,1,9,河南建业,江苏苏宁易购
2,0.673,55,0.76,2,11,7,2,50,3,2,5,2,10,4,6,0,1,17307,1,1,1,14,河南建业,江苏苏宁易购
7,0.608,51,0.761,19,8,23,0,155,11,1,17,6,23,10,2,0,4,17308,3,9,0,17,天津泰达,上海上港
4,0.611,18,0.746,9,7,12,1,67,7,1,8,4,12,5,2,0,3,17308,2,5,0,6,天津泰达,上海上港
3,0.606,33,0.773,10,1,11,2,88,4,0,9,2,11,5,0,0,1,17308,1,4,0,11,天津泰达,上海上港
2,0.611,36,0.731,13,6,18,0,134,8,2,12,6,23,7,9,0,6,17309,0,3,5,8,上海绿地申花,深圳佳兆业
2,0.739,23,0.775,6,3,8,1,71,6,1,4,4,11,2,5,0,4,17309,0,3,3,5,上海绿地申花,深圳佳兆业
0,0.385,13,0.683,7,3,10,2,63,2,1,8,2,12,5,4,0,2,17309,0,0,2,3,上海绿地申花,深圳佳兆业
9,0.811,106,0.768,6,4,15,0,82,17,2,8,7,13,5,9,0,8,17310,2,12,1,17,广州富力,广州恒大淘宝
2,0.831,59,0.822,1,1,6,1,45,8,1,3,3,4,2,5,0,6,17310,1,5,1,10,广州富力,广州恒大淘宝
7,0.787,47,0.703,5,3,9,2,37,9,1,5,4,9,3,4,0,2,17310,1,7,0,7,广州富力,广州恒大淘宝
5,0.69,100,0.763,1,2,2,0,114,8,0,2,0,11,0,5,0,3,17311,2,7,0,8,江苏苏宁易购,山东鲁能泰山
4,0.73,37,0.775,0,1,1,1,71,5,0,1,0,6,0,3,0,1,17311,2,4,0,1,江苏苏宁易购,山东鲁能泰山
1,0.667,63,0.744,1,1,1,2,43,3,0,1,0,5,0,2,0,2,17311,0,3,0,7,江苏苏宁易购,山东鲁能泰山
2,0.773,97,0.664,6,11,11,0,122,7,4,3,8,23,1,6,0,5,17312,1,3,3,12,大连人,河南建业
1,0.785,65,0.653,3,4,4,1,49,4,3,1,3,8,0,5,0,3,17312,0,3,2,11,大连人,河南建业
1,0.75,32,0.671,3,7,7,2,73,3,1,2,5,15,1,1,0,2,17312,1,0,1,1,大连人,河南建业
6,0.791,134,0.55,9,1,10,0,60,10,1,6,4,19,2,5,0,4,17313,1,7,2,10,北京中赫国安,武汉卓尔
3,0.766,64,0.5,3,1,3,1,20,6,0,2,1,6,0,3,0,3,17313,0,3,2,4,北京中赫国安,武汉卓尔
3,0.814,70,0.575,6,0,7,2,40,4,1,4,3,13,2,2,0,1,17313,1,4,0,6,北京中赫国安,武汉卓尔
4,0.694,49,0.571,5,10,8,0,63,14,2,5,3,11,2,12,0,10,17314,1,8,7,15,石家庄永昌,青岛黄海青港
4,0.682,22,0.583,2,6,3,1,36,10,1,2,1,8,1,5,0,6,17314,1,5,6,8,石家庄永昌,青岛黄海青港
0,0.704,27,0.556,3,4,5,2,27,4,1,3,2,3,1,7,0,4,17314,0,3,1,7,石家庄永昌,青岛黄海青港
8,0.806,134,0.679,4,0,5,0,56,17,1,3,2,9,0,5,0,9,17315,1,10,5,11,上海上港,河北华夏幸福
5,0.793,87,0.741,2,0,2,1,27,9,1,1,1,4,0,2,0,4,17315,1,6,1,8,上海上港,河北华夏幸福
3,0.83,47,0.621,2,0,3,2,29,8,0,2,1,5,0,3,0,5,17315,0,4,4,3,上海上港,河北华夏幸福
4,0.711,45,0.571,8,9,12,0,77,13,2,9,3,24,3,9,0,9,17316,0,6,5,11,重庆当代,天津泰达
2,0.8,20,0.529,2,4,3,1,51,7,1,2,1,15,2,6,0,5,17316,0,2,2,8,重庆当代,天津泰达
2,0.64,25,0.654,6,5,9,2,26,6,1,7,2,9,1,3,0,4,17316,0,4,3,3,重庆当代,天津泰达
5,0.73,122,0.803,6,5,12,0,71,8,1,8,4,11,6,3,0,3,17317,2,6,2,20,深圳佳兆业,广州恒大淘宝
1,0.75,36,0.81,3,5,7,1,42,2,0,5,2,5,4,0,0,1,17317,1,2,0,6,深圳佳兆业,广州恒大淘宝
4,0.721,86,0.793,3,0,5,2,29,6,1,3,2,6,2,3,0,2,17317,1,4,2,14,深圳佳兆业,广州恒大淘宝
6,0.692,91,0.619,2,1,8,0,63,11,2,3,5,18,1,4,0,5,17318,1,4,4,16,江苏苏宁易购,大连人
5,0.686,35,0.5,1,1,4,1,24,6,2,1,3,7,0,1,0,1,17318,1,2,0,6,江苏苏宁易购,大连人
1,0.696,56,0.692,1,0,4,2,39,5,0,2,2,11,1,3,0,4,17318,0,2,4,10,江苏苏宁易购,大连人
6,0.718,78,0.685,8,6,11,0,108,11,1,6,5,18,3,4,0,5,17319,4,8,1,14,山东鲁能泰山,上海绿地申花
2,0.676,37,0.651,4,5,4,1,43,4,0,2,2,13,1,3,0,2,17319,1,4,0,7,山东鲁能泰山,上海绿地申花
4,0.756,41,0.708,4,1,7,2,65,7,1,4,3,5,2,1,0,3,17319,3,4,1,7,山东鲁能泰山,上海绿地申花
7,0.699,83,0.853,9,3,12,0,143,14,2,8,4,20,5,3,0,7,17320,1,8,3,19,河南建业,广州富力
5,0.632,38,0.88,4,1,5,1,83,9,1,2,3,7,2,1,0,4,17320,1,4,1,13,河南建业,广州富力
2,0.756,45,0.817,5,2,7,2,60,5,1,6,1,13,3,2,0,3,17320,0,4,2,6,河南建业,广州富力
6,0.714,77,0.73,12,14,14,0,100,8,1,11,3,12,6,6,0,2,17321,1,7,0,14,天津泰达,北京中赫国安
2,0.76,50,0.733,5,8,6,1,45,3,0,5,1,5,4,3,0,1,17321,0,3,0,7,天津泰达,北京中赫国安
4,0.63,27,0.727,7,6,8,2,55,5,1,6,2,7,2,3,0,1,17321,1,4,0,7,天津泰达,北京中赫国安
5,0.694,49,0.741,9,8,13,0,212,6,0,9,4,25,2,8,0,1,17322,2,3,1,9,青岛黄海青港,上海上港
3,0.774,31,0.783,7,0,8,1,120,3,0,6,2,12,1,3,0,0,17322,0,3,0,4,青岛黄海青港,上海上港
2,0.556,18,0.685,2,8,5,2,92,3,0,3,2,13,1,5,0,1,17322,2,0,1,5,青岛黄海青港,上海上港
1,0.753,73,0.603,10,5,13,0,58,7,0,10,3,19,6,3,0,6,17323,0,4,4,14,武汉卓尔,石家庄永昌
1,0.737,38,0.737,4,1,6,1,19,5,0,4,2,5,1,2,0,4,17323,0,2,3,5,武汉卓尔,石家庄永昌
0,0.771,35,0.538,6,4,7,2,39,2,0,6,1,14,5,1,0,2,17323,0,2,1,9,武汉卓尔,石家庄永昌
6,0.652,66,0.591,7,15,12,0,66,11,1,10,2,16,3,7,0,5,17324,2,7,2,11,河北华夏幸福,重庆当代
3,0.719,32,0.5,1,8,3,1,22,4,0,2,1,3,1,4,0,1,17324,0,2,0,5,河北华夏幸福,重庆当代
3,0.588,34,0.636,6,7,9,2,44,7,1,8,1,13,2,3,0,4,17324,2,5,2,6,河北华夏幸福,重庆当代
3,0.748,135,0.705,9,5,14,0,78,9,1,9,5,15,6,8,0,6,17325,0,7,1,22,广州恒大淘宝,山东鲁能泰山
1,0.667,33,0.722,5,1,7,1,36,5,1,5,2,9,3,2,0,4,17325,0,4,1,9,广州恒大淘宝,山东鲁能泰山
2,0.775,102,0.69,4,4,7,2,42,4,0,4,3,6,3,6,0,2,17325,0,3,0,13,广州恒大淘宝,山东鲁能泰山
3,0.821,106,0.768,11,9,15,0,82,5,1,6,9,9,2,5,0,2,17326,1,4,2,10,广州富力,江苏苏宁易购
2,0.875,32,0.725,8,4,11,1,40,2,1,4,7,6,1,4,0,0,17326,1,2,0,5,广州富力,江苏苏宁易购
1,0.797,74,0.81,3,5,4,2,42,3,0,2,2,3,1,1,0,2,17326,0,2,2,5,广州富力,江苏苏宁易购
5,0.694,62,0.712,12,10,14,0,125,12,1,10,4,19,2,4,0,7,17327,2,6,2,8,上海绿地申花,大连人
2,0.7,40,0.692,4,5,4,1,52,6,0,2,2,8,0,0,0,4,17327,1,2,1,3,上海绿地申花,大连人
3,0.682,22,0.726,8,5,10,2,73,6,1,8,2,11,2,4,0,3,17327,1,4,1,5,上海绿地申花,大连人
6,0.641,78,0.688,7,12,12,0,93,11,2,8,4,16,3,11,0,5,17328,0,5,3,16,深圳佳兆业,河南建业
2,0.733,30,0.727,4,4,8,1,44,7,2,5,3,9,2,5,0,5,17328,0,4,3,5,深圳佳兆业,河南建业
4,0.583,48,0.653,3,8,4,2,49,4,0,3,1,7,1,6,0,0,17328,0,1,0,11,深圳佳兆业,河南建业
0,0.612,67,0.701,4,6,6,0,97,11,1,1,5,23,1,2,0,11,17329,0,8,6,7,石家庄永昌,天津泰达
0,0.538,26,0.732,3,4,3,1,56,3,0,1,2,18,1,1,0,3,17329,0,2,2,2,石家庄永昌,天津泰达
0,0.659,41,0.659,1,2,3,2,41,8,1,0,3,5,0,1,0,8,17329,0,6,4,5,石家庄永昌,天津泰达
13,0.682,176,0.651,4,15,4,0,43,30,0,4,0,7,1,14,0,17,17330,2,22,2,47,重庆当代,青岛黄海青港
5,0.67,91,0.7,0,8,0,1,20,9,0,0,0,3,0,3,0,4,17330,0,8,2,21,重庆当代,青岛黄海青港
8,0.694,85,0.609,4,7,4,2,23,21,0,4,0,4,1,11,0,13,17330,2,14,0,26,重庆当代,青岛黄海青港
6,0.761,197,0.76,3,8,4,0,25,13,0,3,1,5,2,8,0,7,17331,0,10,2,35,上海上港,武汉卓尔
3,0.747,87,0.625,1,1,2,1,8,6,0,2,0,3,1,2,0,3,17331,0,5,0,19,上海上港,武汉卓尔
3,0.773,110,0.824,2,7,2,2,17,7,0,1,1,2,1,6,0,4,17331,0,5,2,16,上海上港,武汉卓尔
2,0.766,94,0.735,14,4,20,0,132,7,1,12,8,30,2,11,0,5,17332,0,4,3,7,北京中赫国安,河北华夏幸福
0,0.706,34,0.717,4,3,7,1,60,1,0,2,5,12,0,2,0,1,17332,0,1,0,5,北京中赫国安,河北华夏幸福
2,0.8,60,0.75,10,1,13,2,72,6,1,10,3,18,2,9,0,4,17332,0,3,3,2,北京中赫国安,河北华夏幸福
5,0.578,64,0.779,7,6,16,0,145,11,1,12,4,20,5,3,0,6,17333,0,5,3,16,河南建业,广州恒大淘宝
4,0.625,24,0.779,1,3,5,1,77,5,0,3,2,9,1,1,0,1,17333,0,2,0,6,河南建业,广州恒大淘宝
1,0.55,40,0.779,6,3,11,2,68,6,1,9,2,11,4,2,0,5,17333,0,3,3,10,河南建业,广州恒大淘宝
14,0.679,137,0.679,3,9,8,0,53,20,0,5,3,2,2,4,0,6,17334,4,11,2,20,江苏苏宁易购,上海绿地申花
6,0.738,42,0.704,2,2,5,1,27,10,0,3,2,1,2,1,0,4,17334,2,6,1,9,江苏苏宁易购,上海绿地申花
8,0.653,95,0.654,1,7,3,2,26,10,0,2,1,1,0,3,0,2,17334,2,5,1,11,江苏苏宁易购,上海绿地申花
6,0.743,74,0.737,8,1,11,0,118,12,1,8,3,20,0,4,0,6,17335,2,9,3,14,山东鲁能泰山,深圳佳兆业
2,0.771,48,0.698,3,1,4,1,43,5,1,3,1,6,0,1,0,3,17335,0,4,2,7,山东鲁能泰山,深圳佳兆业
4,0.692,26,0.76,5,0,7,2,75,7,0,5,2,14,0,3,0,3,17335,2,5,1,7,山东鲁能泰山,深圳佳兆业
5,0.713,164,0.756,8,11,10,0,90,18,0,6,4,6,3,8,0,13,17336,3,15,4,22,大连人,广州富力
3,0.652,69,0.767,4,5,5,1,43,6,0,3,2,3,2,5,0,3,17336,2,3,1,10,大连人,广州富力
