homeShotsOutPenaltyArea,homeAttThSucPaAccuracy,homeAttThPass,guestAttThSucPaAccuracy,guestKeyPasses,guestBreakThrows,guestShots,half,guestAttThPass,homeShots,guestShotsOnTargetObox,guestShotsInPenaltyArea,guestShotsOutPenaltyArea,guestCenter,guestShotsOnTargetIbox,homeBreakThrows,matchHalf,homeShotsInPenaltyArea,matchId,homeShotsOnTargetObox,homeKeyPasses,homeShotsOnTargetIbox,homeCenter,l_team,r_team
6,0.623,106,0.711,9,11,14,0,114,16,7,6,8,21,1,18,0,10,14901,2,9,6,23,广州恒大淘宝,广州富力
2,0.553,47,0.704,5,3,7,1,54,9,5,2,5,12,0,10,0,7,14901,1,4,5,13,广州恒大淘宝,广州富力
4,0.678,59,0.717,4,8,7,2,60,7,2,4,3,9,1,8,0,3,14901,1,5,1,10,广州恒大淘宝,广州富力
5,0.439,41,0.712,4,26,13,0,73,7,2,10,3,20,5,23,0,2,14902,2,4,2,12,河南建业,天津权健
2,0.444,18,0.625,0,14,4,1,40,3,1,3,1,11,1,13,0,1,14902,1,2,1,5,河南建业,天津权健
3,0.435,23,0.818,4,12,9,2,33,4,1,7,2,9,4,10,0,1,14902,1,2,1,7,河南建业,天津权健
9,0.568,37,0.629,6,10,7,0,89,13,0,6,1,25,2,19,0,4,14903,4,6,4,10,上海绿地申花,长春亚泰
5,0.611,18,0.596,3,2,3,1,47,9,0,2,1,17,0,6,0,4,14903,3,4,4,5,上海绿地申花,长春亚泰
4,0.526,19,0.667,3,8,4,2,42,4,0,4,0,8,2,13,0,0,14903,1,2,0,5,上海绿地申花,长春亚泰
4,0.679,81,0.768,12,16,16,0,99,8,1,11,5,19,2,18,0,4,14904,1,6,2,18,重庆斯威,北京人和
2,0.73,37,0.697,4,10,6,1,33,3,0,5,1,8,1,10,0,1,14904,0,2,1,7,重庆斯威,北京人和
2,0.636,44,0.803,8,6,10,2,66,5,1,6,4,11,1,8,0,3,14904,1,4,1,11,重庆斯威,北京人和
10,0.772,162,0.645,5,17,9,0,76,24,0,3,6,11,0,20,0,14,14905,3,14,10,15,上海上港,大连一方
4,0.75,96,0.625,2,5,3,1,32,10,0,1,2,4,0,10,0,6,14905,1,6,5,9,上海上港,大连一方
6,0.803,66,0.659,3,12,6,2,44,14,0,2,4,7,0,10,0,8,14905,2,8,5,6,上海上港,大连一方
4,0.634,41,0.675,9,14,14,0,120,7,1,9,5,13,4,12,0,3,14906,3,2,2,7,天津泰达,河北华夏幸福
0,0.429,14,0.646,2,7,4,1,48,2,1,1,3,5,1,4,0,2,14906,0,1,1,4,天津泰达,河北华夏幸福
4,0.741,27,0.694,7,7,10,2,72,5,0,8,2,8,3,8,0,1,14906,3,1,1,3,天津泰达,河北华夏幸福
