guestFrontFreeKicks,guestInitAttackRate,guestFreekiscks,guestCorners,guestPassesSuccRate,guestPass,guestShots,guestGoals,half,homeFreekiscks,guestShotsOnTarget,homePassesSuccRate,homeFrontFreeKicks,homePass,homeInitAttackRate,homeGoals,homePenalties,homeShots,homeCorners,guestPenalties,homePossAve,matchHalf,matchId,guestPossAve,homeShotsOnTarget,l_team,r_team
9,0.524,17,7,0.719,302,14,0,0,23,1,0.841,7,458,0.476,2,0,10,0,0,0.562,0,17301,0.438,3,广州恒大淘宝,上海绿地申花
4,0.637,8,5,0.722,180,6,0,1,9,1,0.806,2,180,0.363,1,0,4,0,0,0.485,0,17301,0.515,1,广州恒大淘宝,上海绿地申花
5,0.444,9,2,0.713,122,8,0,2,14,0,0.863,5,278,0.556,1,0,6,0,0,0.624,0,17301,0.376,2,广州恒大淘宝,上海绿地申花
4,0.447,16,3,0.784,384,4,0,0,11,0,0.76,7,337,0.553,2,0,8,8,0,0.482,0,17302,0.518,3,武汉卓尔,青岛黄海青港
2,0.374,8,2,0.803,203,1,0,1,5,0,0.806,3,201,0.626,1,0,1,2,0,0.517,0,17302,0.483,0,武汉卓尔,青岛黄海青港
2,0.519,8,1,0.762,181,3,0,2,6,0,0.691,4,136,0.481,1,0,7,6,0,0.443,0,17302,0.557,3,武汉卓尔,青岛黄海青港
3,0.574,12,6,0.821,552,15,3,0,18,4,0.772,9,404,0.426,2,0,12,6,0,0.43,0,17303,0.57,3,大连人,山东鲁能泰山
2,0.676,5,3,0.829,346,6,0,1,9,1,0.76,3,192,0.324,0,0,4,2,0,0.375,0,17303,0.625,1,大连人,山东鲁能泰山
1,0.469,7,3,0.806,206,9,3,2,9,3,0.783,6,212,0.531,2,0,8,4,0,0.494,0,17303,0.506,2,大连人,山东鲁能泰山
10,0.597,23,3,0.891,559,9,0,0,16,2,0.78,5,295,0.403,3,2,15,4,0,0.379,0,17304,0.621,5,深圳佳兆业,广州富力
6,0.496,12,0,0.872,218,5,0,1,9,1,0.783,3,152,0.504,1,0,9,4,0,0.435,0,17304,0.565,2,深圳佳兆业,广州富力
4,0.681,11,3,0.903,341,4,0,2,7,1,0.776,2,143,0.319,2,2,6,0,0,0.33,0,17304,0.67,3,深圳佳兆业,广州富力
3,0.59,11,10,0.748,310,12,2,0,14,4,0.779,6,312,0.41,2,0,8,6,0,0.519,0,17305,0.481,4,河北华夏幸福,石家庄永昌
1,0.472,6,5,0.688,141,4,1,1,2,1,0.828,2,209,0.528,1,0,3,3,0,0.592,0,17305,0.408,1,河北华夏幸福,石家庄永昌
2,0.707,5,5,0.799,169,8,1,2,12,3,0.68,4,103,0.293,1,0,5,3,0,0.439,0,17305,0.561,3,河北华夏幸福,石家庄永昌
12,0.473,21,2,0.689,325,7,2,0,21,3,0.598,8,246,0.527,1,0,15,6,0,0.438,0,17306,0.562,2,重庆当代,北京中赫国安
7,0.539,11,0,0.66,159,4,0,1,10,1,0.39,2,82,0.461,0,0,2,1,0,0.417,0,17306,0.583,0,重庆当代,北京中赫国安
5,0.425,10,2,0.717,166,3,2,2,11,2,0.701,6,164,0.575,1,0,13,5,0,0.456,0,17306,0.544,2,重庆当代,北京中赫国安
10,0.612,22,3,0.806,432,14,4,0,18,7,0.744,6,262,0.388,3,0,9,4,1,0.42,0,17307,0.58,3,河南建业,江苏苏宁易购
5,0.657,11,1,0.804,230,7,0,1,11,1,0.691,4,94,0.343,1,0,6,2,0,0.38,0,17307,0.62,1,河南建业,江苏苏宁易购
5,0.578,11,2,0.807,202,7,4,2,7,6,0.774,2,168,0.422,2,0,3,2,1,0.455,0,17307,0.545,2,河南建业,江苏苏宁易购
11,0.737,17,7,0.862,574,23,3,0,12,11,0.684,5,247,0.263,1,0,11,3,0,0.345,0,17308,0.655,3,天津泰达,上海上港
7,0.735,11,5,0.847,268,12,2,1,5,6,0.697,2,119,0.265,1,0,7,1,0,0.361,0,17308,0.639,2,天津泰达,上海上港
4,0.738,6,2,0.876,306,11,1,2,7,5,0.672,3,128,0.262,0,0,4,2,0,0.33,0,17308,0.67,1,天津泰达,上海上港
7,0.761,14,7,0.807,435,18,2,0,17,9,0.65,7,180,0.239,3,1,8,4,1,0.359,0,17309,0.641,5,上海绿地申花,深圳佳兆业
2,0.684,7,2,0.792,221,8,0,1,10,3,0.707,2,116,0.316,1,0,6,4,0,0.4,0,17309,0.6,3,上海绿地申花,深圳佳兆业
5,0.839,7,5,0.822,214,10,2,2,7,6,0.547,5,64,0.161,2,1,2,0,1,0.309,0,17309,0.691,2,上海绿地申花,深圳佳兆业
7,0.398,13,5,0.894,500,15,5,0,8,7,0.894,5,462,0.602,0,0,17,6,1,0.511,0,17310,0.489,3,广州富力,广州恒大淘宝
4,0.379,8,1,0.903,247,6,2,1,4,3,0.895,3,238,0.621,0,0,8,3,0,0.503,0,17310,0.497,2,广州富力,广州恒大淘宝
3,0.417,5,4,0.885,253,9,3,2,4,4,0.893,2,224,0.583,0,0,9,3,1,0.519,0,17310,0.481,1,广州富力,广州恒大淘宝
5,0.454,15,2,0.824,444,2,0,0,18,0,0.823,4,481,0.546,0,0,8,1,0,0.541,0,17311,0.459,2,江苏苏宁易购,山东鲁能泰山
2,0.55,8,2,0.85,294,1,0,1,10,0,0.823,1,220,0.45,0,0,5,0,0,0.458,0,17311,0.542,2,江苏苏宁易购,山东鲁能泰山
3,0.35,7,0,0.773,150,1,0,2,8,0,0.824,3,261,0.65,0,0,3,1,0,0.629,0,17311,0.371,0,江苏苏宁易购,山东鲁能泰山
11,0.558,20,6,0.795,420,11,1,0,9,5,0.838,5,432,0.442,1,0,7,4,1,0.469,0,17312,0.531,4,大连人,河南建业
4,0.382,8,1,0.765,183,4,0,1,4,3,0.86,3,279,0.618,0,0,4,3,0,0.541,0,17312,0.459,2,大连人,河南建业
7,0.74,12,5,0.819,237,7,1,2,5,2,0.797,2,153,0.26,1,0,3,1,1,0.385,0,17312,0.615,2,大连人,河南建业
4,0.354,14,6,0.799,328,10,0,0,12,3,0.891,3,580,0.646,1,0,10,4,0,0.578,0,17313,0.422,3,北京中赫国安,武汉卓尔
3,0.28,7,1,0.752,137,3,0,1,5,0,0.895,0,333,0.72,1,0,6,2,0,0.627,0,17313,0.373,2,北京中赫国安,武汉卓尔
1,0.414,7,5,0.832,191,7,0,2,7,3,0.887,3,247,0.586,0,0,4,2,0,0.535,0,17313,0.465,1,北京中赫国安,武汉卓尔
2,0.582,11,1,0.782,348,8,2,0,23,4,0.752,13,254,0.418,2,0,14,10,0,0.424,0,17314,0.576,8,石家庄永昌,青岛黄海青港
0,0.57,6,1,0.819,193,3,1,1,13,2,0.825,8,137,0.43,1,0,10,6,0,0.424,0,17314,0.576,7,石家庄永昌,青岛黄海青港
2,0.596,5,0,0.735,155,5,1,2,10,2,0.667,5,117,0.404,1,0,4,4,0,0.424,0,17314,0.576,1,石家庄永昌,青岛黄海青港
7,0.413,22,1,0.818,374,5,0,0,14,1,0.862,7,429,0.587,4,0,17,4,0,0.505,0,17315,0.495,6,上海上港,河北华夏幸福
1,0.382,7,1,0.843,191,2,0,1,7,1,0.859,4,205,0.618,1,0,9,4,0,0.488,0,17315,0.512,2,上海上港,河北华夏幸福
6,0.446,15,0,0.792,183,3,0,2,7,0,0.866,3,224,0.554,3,0,8,0,0,0.521,0,17315,0.479,4,上海上港,河北华夏幸福
6,0.528,18,5,0.702,315,12,2,0,20,5,0.69,6,252,0.472,2,1,13,1,0,0.47,0,17316,0.53,5,重庆当代,天津泰达
2,0.57,7,3,0.737,186,3,1,1,7,3,0.752,3,125,0.43,1,1,7,1,0,0.471,0,17316,0.529,2,重庆当代,天津泰达
4,0.478,11,2,0.651,129,9,1,2,13,2,0.63,3,127,0.522,1,0,6,0,0,0.47,0,17316,0.53,3,重庆当代,天津泰达
6,0.393,20,2,0.827,358,12,3,0,22,7,0.801,8,396,0.607,1,0,8,5,0,0.528,0,17317,0.472,4,深圳佳兆业,广州恒大淘宝
5,0.57,9,2,0.85,220,7,2,1,12,4,0.782,3,165,0.43,0,0,2,2,0,0.437,0,17317,0.563,1,深圳佳兆业,广州恒大淘宝
1,0.255,11,0,0.79,138,5,1,2,10,3,0.814,5,231,0.745,1,0,6,3,0,0.626,0,17317,0.374,3,深圳佳兆业,广州恒大淘宝
8,0.319,17,3,0.707,266,8,1,0,18,3,0.818,14,424,0.681,2,1,11,7,0,0.627,0,17318,0.373,5,江苏苏宁易购,大连人
5,0.296,12,1,0.738,126,4,0,1,8,2,0.873,6,251,0.704,0,0,6,4,0,0.65,0,17318,0.35,1,江苏苏宁易购,大连人
3,0.342,5,2,0.679,140,4,1,2,10,1,0.74,8,173,0.658,2,1,5,3,0,0.602,0,17318,0.398,4,江苏苏宁易购,大连人
3,0.561,19,4,0.76,325,11,1,0,19,4,0.823,8,384,0.439,0,0,11,1,0,0.503,0,17319,0.497,5,山东鲁能泰山,上海绿地申花
1,0.553,7,4,0.763,173,4,0,1,8,1,0.804,3,184,0.447,0,0,4,0,0,0.48,0,17319,0.52,1,山东鲁能泰山,上海绿地申花
