guestShotsBlocks,guestIntercepttions,guestRedCard,guestYellowCard,half,homeYellowCard,homeTacklesConneceded,guestPassBlocks,homePassBlocks,homeClearances,matchHalf,homeRedCard,guestTackles,homeShotsBlocks,homeFoul,guestFoul,matchId,homeIntercepttions,homeTackles,guestClearances,guestTacklesConneceded,l_team,r_team
2,12,1,2,0,2,0,7,10,36,0,0,16,2,26,17,1437,20,23,7,0,浙江毅腾,新疆天山雪豹
0,9,0,1,1,0,0,6,6,16,0,0,11,0,13,8,1437,14,8,5,0,浙江毅腾,新疆天山雪豹
2,3,1,1,2,2,0,1,4,20,0,0,5,2,13,9,1437,6,15,2,0,浙江毅腾,新疆天山雪豹
3,11,0,2,0,2,0,20,7,15,0,0,22,1,12,30,1439,10,14,17,0,梅州客家,大连一方
1,5,0,1,1,0,0,7,3,12,0,0,6,1,6,12,1439,4,8,4,0,梅州客家,大连一方
2,6,0,1,2,2,0,13,4,3,0,0,16,0,6,18,1439,6,6,13,0,梅州客家,大连一方
7,18,0,3,0,2,0,9,11,26,0,0,20,2,13,21,1440,12,10,39,0,武汉卓尔,保定容大
2,3,0,1,1,0,0,3,8,19,0,0,9,1,9,10,1440,4,7,12,0,武汉卓尔,保定容大
5,15,0,2,2,2,0,6,3,7,0,0,11,1,4,11,1440,8,3,27,0,武汉卓尔,保定容大
1,10,0,0,0,1,0,13,5,15,0,0,12,2,15,12,1438,11,17,8,0,青岛黄海制药,北京北控
0,4,0,0,1,0,0,7,2,7,0,0,5,1,9,3,1438,7,7,4,0,青岛黄海制药,北京北控
1,6,0,0,2,1,0,6,3,8,0,0,7,1,6,9,1438,4,10,4,0,青岛黄海制药,北京北控
2,11,0,3,0,2,0,14,10,8,0,0,19,4,14,28,1443,12,17,20,0,北京人和,上海申鑫
1,7,0,2,1,1,0,10,4,2,0,0,6,2,4,17,1443,2,9,12,0,北京人和,上海申鑫
1,4,0,1,2,1,0,4,6,6,0,0,13,2,10,11,1443,10,8,8,0,北京人和,上海申鑫
5,8,0,1,0,2,0,3,6,6,0,0,14,0,29,26,1441,10,18,17,0,石家庄永昌,云南丽江
3,5,0,1,1,1,0,1,3,4,0,0,6,0,12,15,1441,5,5,2,0,石家庄永昌,云南丽江
2,3,0,0,2,1,0,2,3,2,0,0,8,0,17,11,1441,5,13,15,0,石家庄永昌,云南丽江
4,9,1,1,0,0,0,7,5,9,0,0,21,1,16,17,1442,11,13,10,0,深圳佳兆业,大连超越
2,3,1,1,1,0,0,2,2,3,0,0,8,0,8,13,1442,6,7,5,0,深圳佳兆业,大连超越
2,6,0,0,2,0,0,5,3,6,0,0,13,1,8,4,1442,5,6,5,0,深圳佳兆业,大连超越
3,12,0,4,0,2,0,12,17,17,0,0,21,6,18,21,1444,5,16,25,0,杭州绿城,呼和浩特中优
2,4,0,2,1,2,0,5,7,4,0,0,11,4,11,10,1444,3,9,8,0,杭州绿城,呼和浩特中优
1,8,0,2,2,0,0,7,10,13,0,0,10,2,7,11,1444,2,7,17,0,杭州绿城,呼和浩特中优
