guestFrontFreeKicks,guestInitAttackRate,guestFreekiscks,guestCorners,guestPassesSuccRate,guestPass,guestShots,guestGoals,half,homeFreekiscks,guestShotsOnTarget,homePassesSuccRate,homeFrontFreeKicks,homePass,homeInitAttackRate,homeGoals,homePenalties,homeShots,homeCorners,guestPenalties,homePossAve,matchHalf,matchId,guestPossAve,homeShotsOnTarget,l_team,r_team
5,0.351,22,4,0.756,328,8,0,0,14,2,0.803,7,487,0.649,1,0,14,7,0,0.53,0,16101,0.47,6,山东鲁能泰山,北京人和
1,0.344,10,1,0.774,168,5,0,1,5,1,0.782,3,257,0.656,0,0,4,4,0,0.547,0,16101,0.453,0,山东鲁能泰山,北京人和
4,0.357,12,3,0.738,160,3,0,2,9,1,0.826,4,230,0.643,1,0,10,3,0,0.513,0,16101,0.487,6,山东鲁能泰山,北京人和
3,0.544,19,3,0.834,512,10,0,0,12,2,0.817,4,447,0.456,3,0,13,4,0,0.472,0,16102,0.528,6,广州恒大淘宝,天津天海
1,0.426,9,1,0.83,241,5,0,1,6,2,0.823,4,237,0.574,2,0,7,2,0,0.494,0,16102,0.506,3,广州恒大淘宝,天津天海
2,0.652,10,2,0.838,271,5,0,2,6,0,0.81,0,210,0.348,1,0,6,2,0,0.449,0,16102,0.551,3,广州恒大淘宝,天津天海
9,0.536,17,6,0.752,335,16,4,0,14,6,0.739,5,299,0.464,0,0,7,3,0,0.486,0,16103,0.514,2,上海绿地申花,上海上港
6,0.582,11,4,0.744,160,6,1,1,6,0,0.71,3,124,0.418,0,0,2,2,0,0.476,0,16103,0.524,0,上海绿地申花,上海上港
3,0.496,6,2,0.76,175,10,3,2,8,6,0.76,2,175,0.504,0,0,5,1,0,0.495,0,16103,0.505,2,上海绿地申花,上海上港
9,0.686,15,8,0.837,627,14,1,0,17,4,0.728,4,309,0.314,0,0,13,5,0,0.366,0,16104,0.634,8,武汉卓尔,北京中赫国安
5,0.841,7,4,0.843,370,8,0,1,8,3,0.686,1,137,0.159,0,0,2,1,0,0.323,0,16104,0.677,0,武汉卓尔,北京中赫国安
4,0.522,8,4,0.829,257,6,1,2,9,1,0.762,3,172,0.478,0,0,11,4,0,0.414,0,16104,0.586,8,武汉卓尔,北京中赫国安
12,0.481,23,1,0.79,404,17,2,0,26,7,0.734,10,334,0.519,2,1,13,5,0,0.483,0,16106,0.517,3,重庆斯威,广州富力
6,0.563,14,1,0.786,210,10,0,1,13,3,0.69,7,129,0.437,1,1,5,2,0,0.428,0,16106,0.572,1,重庆斯威,广州富力
6,0.415,9,0,0.794,194,7,2,2,13,4,0.761,3,205,0.585,1,0,8,3,0,0.533,0,16106,0.467,2,重庆斯威,广州富力
12,0.707,26,12,0.807,529,16,1,0,13,4,0.656,7,247,0.293,3,0,12,0,0,0.374,0,16105,0.626,6,深圳佳兆业,河北华夏幸福
5,0.621,10,5,0.805,266,7,1,1,6,2,0.711,2,149,0.379,1,0,7,0,0,0.39,0,16105,0.61,3,深圳佳兆业,河北华夏幸福
7,0.79,16,7,0.81,263,9,0,2,7,2,0.571,5,98,0.21,2,0,5,0,0,0.358,0,16105,0.642,3,深圳佳兆业,河北华夏幸福
6,0.587,16,6,0.763,300,16,1,0,25,4,0.737,12,259,0.413,1,0,9,7,0,0.483,0,16107,0.517,4,河南建业,大连一方
4,0.581,8,4,0.69,116,7,0,1,14,2,0.76,5,129,0.419,1,0,3,2,0,0.517,0,16107,0.483,3,河南建业,大连一方
2,0.591,8,2,0.81,184,9,1,2,11,2,0.715,7,130,0.409,0,0,6,5,0,0.457,0,16107,0.543,1,河南建业,大连一方
7,0.475,17,4,0.729,351,10,2,0,9,2,0.762,6,441,0.525,3,2,14,4,0,0.548,0,16108,0.452,7,江苏苏宁易购,天津泰达
2,0.301,7,0,0.689,151,3,0,1,7,0,0.756,5,270,0.699,1,0,8,2,0,0.622,0,16108,0.378,3,江苏苏宁易购,天津泰达
5,0.642,10,4,0.76,200,7,2,2,2,2,0.772,1,171,0.358,2,2,6,2,0,0.463,0,16108,0.537,4,江苏苏宁易购,天津泰达
8,0.404,22,1,0.694,304,8,0,0,21,3,0.793,9,420,0.596,1,0,14,2,0,0.563,0,16109,0.437,5,广州恒大淘宝,天津泰达
5,0.415,13,1,0.686,169,5,0,1,8,3,0.764,4,216,0.585,1,0,7,0,0,0.53,0,16109,0.47,4,广州恒大淘宝,天津泰达
3,0.393,9,0,0.704,135,3,0,2,13,0,0.824,5,204,0.607,0,0,7,2,0,0.599,0,16109,0.401,1,广州恒大淘宝,天津泰达
6,0.415,20,0,0.771,398,4,2,0,17,3,0.787,9,427,0.585,2,0,18,7,1,0.496,0,16110,0.504,11,山东鲁能泰山,河南建业
4,0.424,11,0,0.774,208,3,1,1,9,2,0.786,4,210,0.576,1,0,11,5,0,0.484,0,16110,0.516,6,山东鲁能泰山,河南建业
2,0.405,9,0,0.768,190,1,1,2,8,1,0.788,5,217,0.595,1,0,7,2,1,0.508,0,16110,0.492,5,山东鲁能泰山,河南建业
10,0.67,18,7,0.817,518,23,4,0,23,12,0.707,12,259,0.33,0,0,8,1,0,0.397,0,16112,0.603,2,重庆斯威,北京中赫国安
5,0.77,7,4,0.844,302,13,3,1,12,8,0.644,5,90,0.23,0,0,2,1,0,0.314,0,16112,0.686,0,重庆斯威,北京中赫国安
