guestFrontFreeKicks,guestInitAttackRate,guestFreekiscks,guestCorners,guestPassesSuccRate,guestPass,guestShots,guestGoals,half,homeFreekiscks,guestShotsOnTarget,homePassesSuccRate,homeFrontFreeKicks,homePass,homeInitAttackRate,homeGoals,homePenalties,homeShots,homeCorners,guestPenalties,homePossAve,matchHalf,matchId,guestPossAve,homeShotsOnTarget,l_team,r_team
11,0.341,22,1,0.587,254,5,1,0,19,1,0.746,12,453,0.659,1,1,20,7,1,0.599,0,2761,0.401,3,贵州恒丰智诚,辽宁沈阳开新
8,0.434,11,0,0.612,129,3,1,1,9,1,0.743,7,202,0.566,0,0,9,5,1,0.588,0,2761,0.412,0,贵州恒丰智诚,辽宁沈阳开新
3,0.273,11,1,0.56,125,2,0,2,10,0,0.749,5,251,0.727,1,1,11,2,0,0.608,0,2761,0.392,3,贵州恒丰智诚,辽宁沈阳开新
5,0.516,11,4,0.698,388,13,0,0,21,4,0.75,11,424,0.484,2,0,14,6,0,0.506,0,2762,0.494,7,广州富力,天津权健
3,0.494,7,0,0.668,193,4,0,1,10,0,0.763,4,249,0.506,1,0,8,3,0,0.53,0,2762,0.47,3,广州富力,天津权健
2,0.534,4,4,0.728,195,9,0,2,11,4,0.731,7,175,0.466,1,0,6,3,0,0.479,0,2762,0.521,4,广州富力,天津权健
10,0.471,23,5,0.756,386,7,0,0,20,1,0.771,8,471,0.529,2,0,11,5,0,0.516,0,2763,0.484,5,山东鲁能泰山,天津亿利
4,0.506,11,2,0.771,192,1,0,1,8,0,0.798,2,242,0.494,0,0,6,3,0,0.533,0,2763,0.467,3,山东鲁能泰山,天津亿利
6,0.438,12,3,0.742,194,6,0,2,12,1,0.742,6,229,0.562,2,0,5,2,0,0.5,0,2763,0.5,2,山东鲁能泰山,天津亿利
8,0.446,22,4,0.712,264,12,1,0,13,7,0.803,3,427,0.554,5,1,18,4,0,0.55,0,2764,0.45,7,上海上港,长春亚泰
4,0.393,11,1,0.736,121,6,1,1,7,3,0.852,2,223,0.607,2,1,8,2,0,0.573,0,2764,0.427,2,上海上港,长春亚泰
4,0.491,11,3,0.692,143,6,0,2,6,4,0.75,1,204,0.509,3,0,10,2,0,0.526,0,2764,0.474,5,上海上港,长春亚泰
3,0.171,8,1,0.651,289,5,0,0,15,3,0.828,8,603,0.829,0,0,23,9,0,0.637,0,2765,0.363,5,重庆当代力帆,延边富德
1,0.166,4,0,0.655,145,3,0,1,7,1,0.819,5,287,0.834,0,0,11,2,0,0.637,0,2765,0.363,4,重庆当代力帆,延边富德
2,0.175,4,1,0.646,144,2,0,2,8,2,0.835,3,316,0.825,0,0,12,7,0,0.637,0,2765,0.363,1,重庆当代力帆,延边富德
9,0.443,21,3,0.764,326,14,0,0,19,4,0.759,7,378,0.557,4,1,20,9,0,0.558,0,2766,0.442,7,上海绿地申花,江苏苏宁易购
4,0.304,8,1,0.717,120,1,0,1,12,1,0.787,5,183,0.696,2,1,9,5,0,0.612,0,2766,0.388,3,上海绿地申花,江苏苏宁易购
5,0.531,13,2,0.791,206,13,0,2,7,3,0.733,2,195,0.469,2,0,11,4,0,0.513,0,2766,0.487,4,上海绿地申花,江苏苏宁易购
9,0.321,29,0,0.652,230,8,1,0,27,3,0.741,11,370,0.679,2,0,14,1,1,0.603,0,2767,0.397,3,广州恒大淘宝,北京中赫国安
7,0.379,16,0,0.618,123,5,1,1,12,2,0.736,6,178,0.621,1,0,7,1,1,0.592,0,2767,0.408,2,广州恒大淘宝,北京中赫国安
2,0.259,13,0,0.692,107,3,0,2,15,1,0.745,5,192,0.741,1,0,7,0,0,0.614,0,2767,0.386,1,广州恒大淘宝,北京中赫国安
8,0.515,22,2,0.69,387,8,0,0,26,0,0.686,10,315,0.485,0,0,11,1,0,0.479,0,2768,0.521,3,河南建业,河北华夏幸福
6,0.474,15,1,0.707,181,4,0,1,15,0,0.695,7,151,0.526,0,0,5,0,0,0.459,0,2768,0.541,2,河南建业,河北华夏幸福
2,0.55,7,1,0.675,206,4,0,2,11,0,0.677,3,164,0.45,0,0,6,1,0,0.497,0,2768,0.503,1,河南建业,河北华夏幸福
4,0.219,13,0,0.788,363,6,0,0,12,2,0.851,4,630,0.781,2,0,26,8,0,0.641,0,2769,0.359,9,上海上港,延边富德
0,0.17,5,0,0.778,167,3,0,1,4,2,0.843,2,319,0.83,1,0,17,5,0,0.661,0,2769,0.339,7,上海上港,延边富德
4,0.274,8,0,0.796,196,3,0,2,8,0,0.859,2,311,0.726,1,0,9,3,0,0.62,0,2769,0.38,2,上海上港,延边富德
10,0.478,22,3,0.685,406,10,0,0,17,2,0.76,8,483,0.522,0,0,5,2,0,0.513,0,2770,0.487,2,江苏苏宁易购,天津亿利
