guestShotsBlocks,guestIntercepttions,guestRedCard,guestYellowCard,half,homeYellowCard,homeTacklesConneceded,guestPassBlocks,homePassBlocks,homeClearances,matchHalf,homeRedCard,guestTackles,homeShotsBlocks,homeFoul,guestFoul,matchId,homeIntercepttions,homeTackles,guestClearances,guestTacklesConneceded,l_team,r_team
1,28,1,5,0,3,0,8,9,15,0,0,12,2,20,20,2761,14,22,25,0,贵州恒丰智诚,辽宁沈阳开新
1,13,0,2,1,2,0,3,6,8,0,0,6,1,12,9,2761,7,13,14,0,贵州恒丰智诚,辽宁沈阳开新
0,15,1,3,2,1,0,5,3,7,0,0,6,1,8,11,2761,7,9,11,0,贵州恒丰智诚,辽宁沈阳开新
3,13,0,2,0,1,0,11,6,23,0,0,22,1,10,17,2762,15,15,15,0,广州富力,天津权健
3,7,0,0,1,0,0,7,4,8,0,0,10,0,7,8,2762,11,8,8,0,广州富力,天津权健
0,6,0,2,2,1,0,4,2,15,0,0,12,1,3,9,2762,4,7,7,0,广州富力,天津权健
1,10,0,2,0,4,0,14,9,15,0,0,11,1,21,18,2763,11,22,16,0,山东鲁能泰山,天津亿利
0,6,0,0,1,1,0,4,6,8,0,0,4,0,10,7,2763,4,7,8,0,山东鲁能泰山,天津亿利
1,4,0,2,2,3,0,10,3,7,0,0,7,1,11,11,2763,7,15,8,0,山东鲁能泰山,天津亿利
4,12,0,2,0,1,0,10,5,16,0,0,22,0,20,13,2764,8,27,10,0,上海上港,长春亚泰
2,6,0,1,1,0,0,4,0,6,0,0,13,0,9,7,2764,3,11,2,0,上海上港,长春亚泰
2,6,0,1,2,1,0,6,5,10,0,0,9,0,11,6,2764,5,16,8,0,上海上港,长春亚泰
7,9,0,1,0,0,0,10,6,8,0,0,25,2,6,14,2765,11,12,23,0,重庆当代力帆,延边富德
2,5,0,1,1,0,0,3,2,3,0,0,6,2,2,7,2765,6,7,11,0,重庆当代力帆,延边富德
5,4,0,0,2,0,0,7,4,5,0,0,19,0,4,7,2765,5,5,12,0,重庆当代力帆,延边富德
3,16,1,2,0,6,0,6,12,13,0,0,15,4,20,18,2766,7,19,20,0,上海绿地申花,江苏苏宁易购
3,4,0,2,1,2,0,4,5,5,0,0,10,0,7,12,2766,4,8,11,0,上海绿地申花,江苏苏宁易购
0,12,1,0,2,4,0,2,7,8,0,0,5,4,13,6,2766,3,11,9,0,上海绿地申花,江苏苏宁易购
4,23,1,5,0,6,0,8,11,8,0,1,15,1,27,24,2767,17,9,11,0,广州恒大淘宝,北京中赫国安
1,13,0,1,1,3,0,6,5,3,0,0,12,1,15,13,2767,8,3,1,0,广州恒大淘宝,北京中赫国安
3,10,1,4,2,4,0,2,6,5,0,1,3,0,12,11,2767,9,6,10,0,广州恒大淘宝,北京中赫国安
1,10,0,3,0,2,0,10,15,13,0,0,20,2,20,23,2768,15,27,14,0,河南建业,河北华夏幸福
0,6,0,3,1,1,0,8,5,4,0,0,6,1,14,13,2768,8,15,8,0,河南建业,河北华夏幸福
1,4,0,0,2,1,0,2,10,9,0,0,14,1,6,10,2768,7,12,6,0,河南建业,河北华夏幸福
7,14,0,0,0,0,0,13,8,12,0,0,23,2,13,8,2769,10,29,32,0,上海上港,延边富德
5,9,0,0,1,0,0,7,6,1,0,0,14,0,4,1,2769,4,13,22,0,上海上港,延边富德
2,5,0,0,2,0,0,6,2,11,0,0,9,2,9,7,2769,6,16,10,0,上海上港,延边富德
1,16,0,2,0,4,0,12,14,14,0,0,21,0,20,13,2770,14,22,9,0,江苏苏宁易购,天津亿利
0,6,0,1,1,3,0,4,6,10,0,0,9,0,9,5,2770,7,10,3,0,江苏苏宁易购,天津亿利
1,10,0,1,2,1,0,8,8,4,0,0,12,0,11,8,2770,7,12,6,0,江苏苏宁易购,天津亿利
1,10,0,2,0,2,0,14,14,17,0,0,17,1,17,11,2772,20,13,16,0,山东鲁能泰山,广州恒大淘宝
1,6,0,2,1,0,0,10,6,7,0,0,7,1,8,7,2772,9,8,8,0,山东鲁能泰山,广州恒大淘宝
0,4,0,0,2,2,0,4,8,10,0,0,10,0,9,4,2772,11,5,8,0,山东鲁能泰山,广州恒大淘宝
5,12,0,2,0,2,0,13,11,15,0,0,20,2,18,15,2771,10,18,18,0,贵州恒丰智诚,北京中赫国安
3,7,0,1,1,0,0,8,7,12,0,0,11,0,7,5,2771,4,12,10,0,贵州恒丰智诚,北京中赫国安
2,5,0,1,2,2,0,5,4,3,0,0,9,2,11,10,2771,6,6,8,0,贵州恒丰智诚,北京中赫国安
2,23,0,3,0,1,0,8,12,11,0,0,15,1,10,31,2774,12,13,16,0,重庆当代力帆,河北华夏幸福
0,15,0,1,1,1,0,3,8,7,0,0,9,1,1,14,2774,6,3,10,0,重庆当代力帆,河北华夏幸福
2,8,0,2,2,0,0,5,4,4,0,0,6,0,9,17,2774,6,10,6,0,重庆当代力帆,河北华夏幸福
3,10,0,4,0,3,0,11,7,16,0,1,17,2,14,20,2773,15,11,11,0,上海绿地申花,天津权健
1,5,0,2,1,2,0,7,2,6,0,1,8,0,6,10,2773,10,9,5,0,上海绿地申花,天津权健
