guestFrontFreeKicks,guestInitAttackRate,guestFreekiscks,guestCorners,guestPassesSuccRate,guestPass,guestShots,guestGoals,half,homeFreekiscks,guestShotsOnTarget,homePassesSuccRate,homeFrontFreeKicks,homePass,homeInitAttackRate,homeGoals,homePenalties,homeShots,homeCorners,guestPenalties,homePossAve,matchHalf,matchId,guestPossAve,homeShotsOnTarget,l_team,r_team
6,0.376,17,3,0.471,225,8,0,0,20,3,0.52,11,271,0.624,2,1,20,3,0,0.53,0,16512,0.47,5,广东华南虎,新疆雪豹纳欢
1,0.306,7,1,0.45,109,3,0,1,10,1,0.542,4,144,0.694,1,1,11,2,0,0.548,0,16512,0.452,3,广东华南虎,新疆雪豹纳欢
5,0.463,10,2,0.491,116,5,0,2,10,2,0.496,7,127,0.537,1,0,9,1,0,0.51,0,16512,0.49,2,广东华南虎,新疆雪豹纳欢
6,0.516,23,6,0.723,364,20,4,0,21,9,0.671,9,301,0.484,1,0,8,4,0,0.476,0,16515,0.524,3,上海申鑫,长春亚泰
2,0.527,11,4,0.718,188,12,1,1,13,5,0.627,6,126,0.473,1,0,5,2,0,0.463,0,16515,0.537,2,上海申鑫,长春亚泰
4,0.506,12,2,0.727,176,8,3,2,8,4,0.703,3,175,0.494,0,0,3,2,0,0.488,0,16515,0.512,1,上海申鑫,长春亚泰
6,0.463,15,6,0.672,244,12,0,0,15,4,0.743,11,331,0.537,1,0,7,7,0,0.53,0,16517,0.47,4,四川FC,呼和浩特
3,0.479,9,2,0.658,111,5,0,1,11,2,0.773,7,181,0.521,0,0,2,0,0,0.575,0,16517,0.425,0,四川FC,呼和浩特
3,0.453,6,4,0.684,133,7,0,2,4,2,0.707,4,150,0.547,1,0,5,7,0,0.49,0,16517,0.51,4,四川FC,呼和浩特
8,0.632,18,6,0.75,368,11,1,0,14,6,0.657,8,268,0.368,0,1,6,0,0,0.423,0,16511,0.577,1,陕西大秦之水,黑龙江FC
4,0.616,10,2,0.77,204,6,0,1,10,1,0.686,6,140,0.384,0,0,3,0,0,0.444,0,16511,0.556,0,陕西大秦之水,黑龙江FC
4,0.645,8,4,0.726,164,5,1,2,4,5,0.625,2,128,0.355,0,1,3,0,0,0.403,0,16511,0.597,1,陕西大秦之水,黑龙江FC
7,0.527,21,1,0.668,328,5,0,0,18,2,0.528,7,254,0.473,0,0,14,7,0,0.459,0,16513,0.541,1,贵州恒丰,辽宁沈阳宏运
7,0.526,14,1,0.699,176,3,0,1,8,1,0.491,3,114,0.474,0,0,6,3,0,0.452,0,16513,0.548,1,贵州恒丰,辽宁沈阳宏运
0,0.527,7,0,0.632,152,2,0,2,10,1,0.557,4,140,0.473,0,0,8,4,0,0.465,0,16513,0.535,0,贵州恒丰,辽宁沈阳宏运
8,0.669,11,14,0.769,471,13,0,0,13,2,0.657,4,242,0.331,1,0,2,3,0,0.372,0,16514,0.628,1,梅州客家,北京北体大
6,0.557,7,3,0.775,204,4,0,1,5,1,0.706,3,136,0.443,0,0,1,3,0,0.411,0,16514,0.589,0,梅州客家,北京北体大
2,0.755,4,11,0.764,267,9,0,2,8,1,0.594,1,106,0.245,1,0,1,0,0,0.333,0,16514,0.667,1,梅州客家,北京北体大
7,0.54,21,1,0.763,379,7,2,0,16,3,0.773,5,431,0.46,1,0,11,6,0,0.528,0,16518,0.472,4,浙江绿城,青岛黄海
5,0.463,12,0,0.73,174,4,1,1,5,2,0.788,1,236,0.537,1,0,7,4,0,0.55,0,16518,0.45,3,浙江绿城,青岛黄海
2,0.612,9,1,0.79,205,3,1,2,11,1,0.754,4,195,0.388,0,0,4,2,0,0.505,0,16518,0.495,1,浙江绿城,青岛黄海
7,0.498,18,7,0.794,403,13,1,0,15,7,0.798,2,460,0.502,2,0,6,5,0,0.508,0,16516,0.492,3,石家庄永昌,南通支云
2,0.429,10,4,0.801,181,7,0,1,7,3,0.781,1,247,0.571,1,0,2,2,0,0.542,0,16516,0.458,1,石家庄永昌,南通支云
5,0.557,8,3,0.788,222,6,1,2,8,4,0.817,1,213,0.443,1,0,4,3,0,0.474,0,16516,0.526,2,石家庄永昌,南通支云
9,0.631,21,3,0.779,417,11,0,0,16,3,0.717,5,272,0.369,3,0,10,5,0,0.449,0,16519,0.551,6,陕西大秦之水,青岛黄海
4,0.598,10,3,0.783,203,6,0,1,9,1,0.799,3,169,0.402,1,0,5,2,0,0.469,0,16519,0.531,1,陕西大秦之水,青岛黄海
5,0.662,11,0,0.776,214,5,0,2,7,2,0.583,2,103,0.338,2,0,5,3,0,0.428,0,16519,0.572,5,陕西大秦之水,青岛黄海
5,0.578,15,1,0.799,427,7,0,0,22,1,0.758,8,322,0.422,4,0,8,6,0,0.449,0,16521,0.551,6,梅州客家,新疆雪豹纳欢
2,0.372,5,0,0.768,151,1,0,1,13,1,0.767,7,193,0.628,1,0,2,4,0,0.546,0,16521,0.454,2,梅州客家,新疆雪豹纳欢
3,0.729,10,1,0.815,276,6,0,2,9,0,0.744,1,129,0.271,3,0,6,2,0,0.365,0,16521,0.635,4,梅州客家,新疆雪豹纳欢
5,0.564,19,3,0.624,287,9,1,0,22,3,0.55,10,240,0.436,2,0,10,6,0,0.477,0,16526,0.523,6,贵州恒丰,长春亚泰
2,0.499,10,1,0.63,138,6,1,1,11,3,0.516,6,126,0.501,0,0,4,2,0,0.466,0,16526,0.534,2,贵州恒丰,长春亚泰
3,0.64,9,2,0.617,149,3,0,2,11,0,0.588,4,114,0.36,2,0,6,4,0,0.488,0,16526,0.512,4,贵州恒丰,长春亚泰
6,0.469,18,3,0.749,422,9,0,0,12,2,0.776,5,411,0.531,3,0,11,2,0,0.465,0,16524,0.535,5,石家庄永昌,呼和浩特
3,0.356,7,1,0.587,150,2,0,1,6,1,0.755,4,208,0.644,1,0,7,1,0,0.541,0,16524,0.459,2,石家庄永昌,呼和浩特
3,0.558,11,2,0.838,272,7,0,2,6,1,0.798,1,203,0.442,2,0,4,1,0,0.404,0,16524,0.596,3,石家庄永昌,呼和浩特
4,0.57,13,1,0.793,464,8,2,0,17,3,0.673,9,263,0.43,1,1,13,9,1,0.405,0,16522,0.595,2,南通支云,辽宁沈阳宏运
2,0.654,5,0,0.824,221,3,1,1,9,2,0.69,7,100,0.346,1,1,6,1,1,0.37,0,16522,0.63,1,南通支云,辽宁沈阳宏运
2,0.503,8,1,0.765,243,5,1,2,8,1,0.663,2,163,0.497,0,0,7,8,0,0.432,0,16522,0.568,1,南通支云,辽宁沈阳宏运
4,0.542,13,2,0.817,460,14,0,0,11,1,0.752,4,371,0.458,0,0,5,8,0,0.472,0,16520,0.528,0,广东华南虎,北京北体大
0,0.524,5,2,0.823,243,6,0,1,4,1,0.722,2,158,0.476,0,0,1,3,0,0.422,0,16520,0.578,0,广东华南虎,北京北体大
4,0.558,8,0,0.811,217,8,0,2,7,0,0.775,2,213,0.442,0,0,4,5,0,0.517,0,16520,0.483,0,广东华南虎,北京北体大
5,0.467,14,4,0.725,433,13,0,0,17,3,0.743,8,382,0.533,0,0,10,8,0,0.498,0,16523,0.502,1,上海申鑫,四川FC
4,0.452,7,1,0.661,186,6,0,1,9,2,0.681,4,163,0.548,0,0,4,4,0,0.513,0,16523,0.487,0,上海申鑫,四川FC
1,0.48,7,3,0.773,247,7,0,2,8,1,0.79,4,219,0.52,0,0,6,4,0,0.484,0,16523,0.516,1,上海申鑫,四川FC
8,0.358,15,4,0.714,262,8,1,0,13,1,0.816,5,434,0.642,2,0,17,12,0,0.569,0,16525,0.431,7,浙江绿城,黑龙江FC
3,0.342,7,2,0.693,137,7,1,1,10,1,0.803,4,213,0.658,0,0,7,4,0,0.574,0,16525,0.426,4,浙江绿城,黑龙江FC
5,0.375,8,2,0.736,125,1,0,2,3,0,0.828,1,221,0.625,2,0,10,8,0,0.563,0,16525,0.437,3,浙江绿城,黑龙江FC
1,0.155,15,0,0.589,158,1,0,0,17,0,0.816,6,577,0.845,0,0,19,9,0,0.657,0,16529,0.343,2,青岛黄海,新疆雪豹纳欢
1,0.21,7,0,0.615,91,0,0,1,12,0,0.804,4,291,0.79,0,0,5,4,0,0.64,0,16529,0.36,0,青岛黄海,新疆雪豹纳欢
0,0.108,8,0,0.552,67,1,0,2,5,0,0.829,2,286,0.892,0,0,14,5,0,0.673,0,16529,0.327,2,青岛黄海,新疆雪豹纳欢
5,0.356,13,2,0.61,241,12,3,0,31,6,0.722,12,450,0.644,0,0,10,4,0,0.596,0,16527,0.404,3,辽宁沈阳宏运,陕西大秦之水
2,0.423,5,2,0.576,132,7,1,1,16,3,0.693,4,238,0.577,0,0,3,3,0,0.578,0,16527,0.422,1,辽宁沈阳宏运,陕西大秦之水
3,0.293,8,0,0.651,109,5,2,2,15,3,0.755,8,212,0.707,0,0,7,1,0,0.617,0,16527,0.383,2,辽宁沈阳宏运,陕西大秦之水
6,0.384,17,5,0.768,401,6,0,0,15,1,0.827,8,468,0.616,1,0,9,2,0,0.52,0,16533,0.48,4,长春亚泰,南通支云
3,0.433,7,2,0.826,236,3,0,1,7,0,0.846,4,259,0.567,0,0,4,1,0,0.515,0,16533,0.485,2,长春亚泰,南通支云
3,0.335,10,3,0.685,165,3,0,2,8,1,0.804,4,209,0.665,1,0,5,1,0,0.526,0,16533,0.474,2,长春亚泰,南通支云
6,0.302,13,3,0.725,287,7,2,0,20,3,0.741,11,398,0.698,0,1,17,11,1,0.579,0,16531,0.421,3,四川FC,广东华南虎
4,0.378,8,1,0.724,152,3,0,1,8,0,0.75,5,184,0.622,0,0,7,5,0,0.564,0,16531,0.436,0,四川FC,广东华南虎
2,0.238,5,2,0.726,135,4,2,2,12,3,0.734,6,214,0.762,0,1,10,6,1,0.593,0,16531,0.407,3,四川FC,广东华南虎
