guestFrontFreeKicks,guestInitAttackRate,guestFreekiscks,guestCorners,guestPassesSuccRate,guestPass,guestShots,guestGoals,half,homeFreekiscks,guestShotsOnTarget,homePassesSuccRate,homeFrontFreeKicks,homePass,homeInitAttackRate,homeGoals,homePenalties,homeShots,homeCorners,guestPenalties,homePossAve,matchHalf,matchId,guestPossAve,homeShotsOnTarget,l_team,r_team
14,0.673,26,4,0.789,456,8,0,0,16,2,0.665,6,269,0.327,1,1,7,3,1,0.383,0,1437,0.617,4,浙江毅腾,新疆天山雪豹
7,0.56,12,2,0.717,187,2,0,1,7,1,0.713,2,171,0.44,1,1,3,3,1,0.452,0,1437,0.548,2,浙江毅腾,新疆天山雪豹
7,0.773,14,2,0.84,269,6,0,2,9,1,0.582,4,98,0.227,0,0,4,0,0,0.319,0,1437,0.681,2,浙江毅腾,新疆天山雪豹
9,0.608,14,4,0.772,373,9,2,0,30,4,0.726,10,340,0.392,0,0,9,7,0,0.481,0,1439,0.519,3,梅州客家,大连一方
6,0.769,7,4,0.793,203,5,1,1,12,3,0.694,2,147,0.231,0,0,4,4,0,0.437,0,1439,0.563,2,梅州客家,大连一方
3,0.47,7,0,0.747,170,4,1,2,18,1,0.751,8,193,0.53,0,0,5,3,0,0.523,0,1439,0.477,1,梅州客家,大连一方
5,0.44,15,8,0.584,274,10,1,0,23,3,0.676,11,349,0.56,1,0,20,8,1,0.527,0,1440,0.473,6,武汉卓尔,保定容大
5,0.599,11,5,0.617,133,6,0,1,12,2,0.704,6,142,0.401,0,0,9,2,0,0.5,0,1440,0.5,1,武汉卓尔,保定容大
0,0.296,4,3,0.553,141,4,1,2,11,1,0.657,5,207,0.704,1,0,11,6,1,0.553,0,1440,0.447,5,武汉卓尔,保定容大
4,0.352,18,3,0.657,277,8,1,0,16,3,0.817,3,589,0.648,2,0,16,7,0,0.627,0,1438,0.373,11,青岛黄海制药,北京北控
2,0.311,11,2,0.6,110,4,0,1,7,1,0.838,1,340,0.689,0,0,7,4,0,0.678,0,1438,0.322,5,青岛黄海制药,北京北控
2,0.39,7,1,0.695,167,4,1,2,9,2,0.787,2,249,0.61,2,0,9,3,0,0.575,0,1438,0.425,6,青岛黄海制药,北京北控
4,0.453,17,3,0.706,343,15,2,0,27,5,0.627,13,287,0.547,2,1,8,4,1,0.488,0,1443,0.512,3,北京人和,上海申鑫
1,0.342,5,1,0.716,169,6,0,1,17,1,0.62,9,163,0.658,1,0,3,2,0,0.508,0,1443,0.492,1,北京人和,上海申鑫
3,0.559,12,2,0.695,174,9,2,2,10,4,0.637,4,124,0.441,1,1,5,2,1,0.467,0,1443,0.533,2,北京人和,上海申鑫
7,0.283,30,2,0.646,229,5,1,0,28,4,0.825,14,481,0.717,2,0,17,5,0,0.597,0,1441,0.403,4,石家庄永昌,云南丽江
3,0.241,13,1,0.631,111,3,0,1,16,2,0.863,10,263,0.759,1,0,10,4,0,0.649,0,1441,0.351,1,石家庄永昌,云南丽江
4,0.318,17,1,0.661,118,2,1,2,12,2,0.78,4,218,0.682,1,0,7,1,0,0.551,0,1441,0.449,3,石家庄永昌,云南丽江
7,0.463,19,2,0.805,323,9,0,0,19,0,0.865,8,371,0.537,6,0,18,4,0,0.506,0,1442,0.494,11,深圳佳兆业,大连超越
6,0.443,10,0,0.785,149,4,0,1,14,0,0.798,7,129,0.557,2,0,10,2,0,0.467,0,1442,0.533,7,深圳佳兆业,大连超越
1,0.476,9,2,0.822,174,5,0,2,5,0,0.901,1,242,0.524,4,0,8,2,0,0.538,0,1442,0.462,4,深圳佳兆业,大连超越
4,0.508,19,3,0.683,344,13,2,0,21,3,0.684,13,310,0.492,3,1,14,4,0,0.494,0,1444,0.506,6,杭州绿城,呼和浩特中优
3,0.448,12,0,0.698,179,5,0,1,11,1,0.71,7,186,0.552,0,0,4,0,0,0.515,0,1444,0.485,1,杭州绿城,呼和浩特中优
1,0.572,7,3,0.667,165,8,2,2,10,2,0.645,6,124,0.428,3,1,10,4,0,0.467,0,1444,0.533,5,杭州绿城,呼和浩特中优
8,0.353,26,1,0.726,281,7,2,0,29,4,0.788,17,306,0.647,3,0,17,5,0,0.548,0,1447,0.452,7,北京人和,大连超越
6,0.327,15,1,0.69,142,5,0,1,13,2,0.764,7,140,0.673,2,0,5,2,0,0.531,0,1447,0.469,3,北京人和,大连超越
2,0.374,11,0,0.763,139,2,2,2,16,2,0.807,10,166,0.626,1,0,12,3,0,0.565,0,1447,0.435,4,北京人和,大连超越
6,0.49,16,2,0.676,336,10,2,0,31,3,0.686,10,385,0.51,0,0,7,3,0,0.504,0,1451,0.496,2,北京北控,大连一方
3,0.577,6,1,0.67,185,5,0,1,18,1,0.691,6,181,0.423,0,0,3,0,0,0.509,0,1451,0.491,0,北京北控,大连一方
