guestShotsBlocks,guestIntercepttions,guestRedCard,guestYellowCard,half,homeYellowCard,homeTacklesConneceded,guestPassBlocks,homePassBlocks,homeClearances,matchHalf,homeRedCard,guestTackles,homeShotsBlocks,homeFoul,guestFoul,matchId,homeIntercepttions,homeTackles,guestClearances,guestTacklesConneceded,l_team,r_team
2,11,0,2,0,2,0,10,13,20,0,0,16,1,21,14,14901,6,11,23,0,广州恒大淘宝,广州富力
0,8,0,0,1,1,0,4,8,10,0,0,9,1,8,7,14901,0,4,12,0,广州恒大淘宝,广州富力
2,3,0,2,2,1,0,6,5,10,0,0,7,0,13,7,14901,6,7,11,0,广州恒大淘宝,广州富力
1,12,0,1,0,1,0,11,10,21,0,0,13,0,18,16,14902,13,20,21,0,河南建业,天津权健
0,8,0,0,1,1,0,6,6,13,0,0,6,0,11,7,14902,3,10,9,0,河南建业,天津权健
1,4,0,1,2,0,0,5,4,8,0,0,7,0,7,9,14902,10,10,12,0,河南建业,天津权健
1,9,0,5,0,1,0,8,11,25,0,0,17,2,14,23,14903,11,15,19,0,上海绿地申花,长春亚泰
0,5,0,4,1,0,0,3,6,15,0,0,4,0,6,13,14903,4,6,7,0,上海绿地申花,长春亚泰
1,4,0,1,2,1,0,5,5,10,0,0,13,2,8,10,14903,7,9,12,0,上海绿地申花,长春亚泰
1,8,0,1,0,2,0,12,8,16,0,0,14,3,20,23,14904,7,12,17,0,重庆斯威,北京人和
0,3,0,0,1,0,0,9,3,5,0,0,7,1,11,13,14904,3,8,7,0,重庆斯威,北京人和
1,5,0,1,2,2,0,3,5,11,0,0,7,2,9,10,14904,4,4,10,0,重庆斯威,北京人和
3,7,0,1,0,0,0,10,7,25,0,0,13,2,11,13,14905,14,18,21,0,上海上港,大连一方
2,5,0,0,1,0,0,7,2,10,0,0,9,1,5,7,14905,4,9,15,0,上海上港,大连一方
1,2,0,1,2,0,0,3,5,15,0,0,4,1,6,6,14905,10,9,6,0,上海上港,大连一方
0,7,0,1,0,1,0,11,18,22,0,0,13,3,13,17,14906,21,17,9,0,天津泰达,河北华夏幸福
0,4,0,0,1,0,0,6,10,9,0,0,5,0,5,7,14906,13,9,7,0,天津泰达,河北华夏幸福
0,3,0,1,2,1,0,5,8,13,0,0,8,3,8,10,14906,8,8,2,0,天津泰达,河北华夏幸福
6,10,0,2,0,4,0,9,10,18,0,0,14,4,15,17,14907,10,13,20,0,贵州恒丰,江苏苏宁易购
1,6,0,0,1,3,0,5,4,6,0,0,9,3,5,10,14907,7,10,12,0,贵州恒丰,江苏苏宁易购
5,4,0,2,2,1,0,4,6,12,0,0,5,1,10,7,14907,3,3,8,0,贵州恒丰,江苏苏宁易购
6,10,1,2,0,0,0,6,8,22,0,0,12,1,19,19,14908,15,12,26,0,山东鲁能泰山,北京中赫国安
3,6,1,0,1,0,0,3,6,15,0,0,9,1,10,12,14908,8,6,22,0,山东鲁能泰山,北京中赫国安
3,4,0,2,2,0,0,3,2,7,0,0,3,0,9,7,14908,7,6,4,0,山东鲁能泰山,北京中赫国安
2,12,0,2,0,2,0,10,16,18,0,0,11,1,20,20,14909,9,15,13,0,广州恒大淘宝,长春亚泰
1,8,0,2,1,0,0,5,10,7,0,0,6,0,9,15,14909,4,5,6,0,广州恒大淘宝,长春亚泰
1,4,0,0,2,2,0,5,6,11,0,0,5,1,11,5,14909,5,10,7,0,广州恒大淘宝,长春亚泰
2,8,0,3,0,1,0,9,7,14,0,0,25,3,23,21,14910,10,14,20,0,天津权健,北京人和
1,4,0,1,1,1,0,3,2,6,0,0,12,0,11,15,14910,8,4,10,0,天津权健,北京人和
1,4,0,2,2,0,0,6,5,8,0,0,13,3,12,6,14910,2,10,10,0,天津权健,北京人和
3,11,0,0,0,2,0,9,10,11,0,0,24,3,8,13,14911,12,18,22,0,广州富力,大连一方
2,6,0,0,1,1,0,7,2,4,0,0,11,1,5,6,14911,4,12,18,0,广州富力,大连一方
1,5,0,0,2,1,0,2,8,7,0,0,13,2,3,7,14911,8,6,4,0,广州富力,大连一方
2,11,0,1,0,2,0,10,8,26,0,0,17,0,24,16,14912,12,13,30,0,山东鲁能泰山,重庆斯威
0,5,0,0,1,1,0,4,4,9,0,0,7,0,11,9,14912,9,7,17,0,山东鲁能泰山,重庆斯威
2,6,0,1,2,1,0,6,4,17,0,0,10,0,13,7,14912,3,6,13,0,山东鲁能泰山,重庆斯威
3,10,0,3,0,3,0,15,7,12,0,0,25,4,9,18,14913,6,27,28,0,上海绿地申花,上海上港
0,2,0,2,1,1,0,8,2,12,0,0,14,4,5,6,14913,4,17,14,0,上海绿地申花,上海上港
3,8,0,1,2,2,0,7,5,0,0,0,11,0,4,12,14913,2,10,14,0,上海绿地申花,上海上港
4,10,0,2,0,1,0,9,8,13,0,0,14,0,22,15,14914,13,11,11,0,贵州恒丰,河北华夏幸福
2,8,0,0,1,0,0,2,4,4,0,0,4,0,11,4,14914,9,3,7,0,贵州恒丰,河北华夏幸福
2,2,0,2,2,1,0,7,4,9,0,0,10,0,11,11,14914,4,8,4,0,贵州恒丰,河北华夏幸福
5,7,1,2,0,2,0,13,7,28,0,0,22,3,12,22,14915,9,18,30,0,河南建业,天津泰达
1,7,0,1,1,0,0,5,4,9,0,0,9,1,5,12,14915,5,8,19,0,河南建业,天津泰达
4,0,1,1,2,2,0,8,3,19,0,0,13,2,7,10,14915,4,10,11,0,河南建业,天津泰达
7,17,0,2,0,1,0,15,19,13,0,0,23,4,13,16,14916,12,28,23,0,江苏苏宁易购,北京中赫国安
3,10,0,1,1,0,0,6,13,9,0,0,10,3,6,7,14916,7,10,6,0,江苏苏宁易购,北京中赫国安
4,7,0,1,2,1,0,9,6,4,0,0,13,1,7,9,14916,5,18,17,0,江苏苏宁易购,北京中赫国安
2,10,0,1,0,2,0,9,11,11,0,0,29,3,13,9,14917,20,22,13,0,大连一方,北京中赫国安
1,4,0,1,1,0,0,4,4,8,0,0,17,2,7,3,14917,10,12,2,0,大连一方,北京中赫国安
1,6,0,0,2,2,0,5,7,3,0,0,12,1,6,6,14917,10,10,11,0,大连一方,北京中赫国安
6,16,0,2,0,2,0,20,11,19,0,0,29,2,10,20,14918,13,16,28,0,河北华夏幸福,山东鲁能泰山
4,10,0,0,1,1,0,8,8,9,0,0,10,1,7,7,14918,7,7,9,0,河北华夏幸福,山东鲁能泰山
2,6,0,2,2,1,0,12,3,10,0,0,19,1,3,13,14918,6,9,19,0,河北华夏幸福,山东鲁能泰山
4,10,0,3,0,1,0,5,6,30,0,0,23,3,10,12,14919,11,20,14,0,重庆斯威,江苏苏宁易购
