homeShotsOutPenaltyArea,homeAttThSucPaAccuracy,homeAttThPass,guestAttThSucPaAccuracy,guestKeyPasses,guestBreakThrows,guestShots,half,guestAttThPass,homeShots,guestShotsOnTargetObox,guestShotsInPenaltyArea,guestShotsOutPenaltyArea,guestCenter,guestShotsOnTargetIbox,homeBreakThrows,matchHalf,homeShotsInPenaltyArea,matchId,homeShotsOnTargetObox,homeKeyPasses,homeShotsOnTargetIbox,homeCenter,l_team,r_team
11,0.635,104,0.596,2,23,5,0,52,20,0,2,3,11,1,17,0,9,2761,0,11,3,20,贵州恒丰智诚,辽宁沈阳开新
8,0.639,36,0.6,2,9,3,1,30,9,0,2,1,6,1,6,0,1,2761,0,3,0,12,贵州恒丰智诚,辽宁沈阳开新
3,0.632,68,0.591,0,14,2,2,22,11,0,0,2,5,0,11,0,8,2761,0,8,3,8,贵州恒丰智诚,辽宁沈阳开新
8,0.739,92,0.629,9,13,13,0,116,14,1,8,5,22,3,15,0,6,2762,2,7,5,15,广州富力,天津权健
4,0.723,47,0.556,2,6,4,1,54,8,0,1,3,8,0,6,0,4,2762,0,4,3,10,广州富力,天津权健
4,0.756,45,0.694,7,7,9,2,62,6,1,7,2,14,3,9,0,2,2762,2,3,2,5,广州富力,天津权健
1,0.639,97,0.753,6,18,7,0,77,11,0,3,4,16,1,20,0,10,2763,0,8,5,17,山东鲁能泰山,天津亿利
1,0.61,41,0.714,1,11,1,1,42,6,0,0,1,9,0,7,0,5,2763,0,5,3,7,山东鲁能泰山,天津亿利
0,0.661,56,0.8,5,7,6,2,35,5,0,3,3,7,1,13,0,5,2763,0,3,2,10,山东鲁能泰山,天津亿利
6,0.711,97,0.581,8,15,12,0,62,18,5,2,10,16,2,25,0,12,2764,0,8,7,13,上海上港,长春亚泰
3,0.727,44,0.579,3,6,6,1,19,8,3,0,6,6,0,16,0,5,2764,0,3,2,7,上海上港,长春亚泰
3,0.698,53,0.581,5,9,6,2,43,10,2,2,4,10,2,9,0,7,2764,0,5,5,6,上海上港,长春亚泰
