guestShotsBlocks,guestIntercepttions,guestRedCard,guestYellowCard,half,homeYellowCard,homeTacklesConneceded,guestPassBlocks,homePassBlocks,homeClearances,matchHalf,homeRedCard,guestTackles,homeShotsBlocks,homeFoul,guestFoul,matchId,homeIntercepttions,homeTackles,guestClearances,guestTacklesConneceded,l_team,r_team
0,9,0,6,0,3,0,7,7,12,0,0,22,3,23,19,15141,12,9,5,0,辽宁沈阳宏运,新疆天山雪豹
0,5,0,4,1,0,0,4,3,6,0,0,14,1,12,10,15141,5,6,3,0,辽宁沈阳宏运,新疆天山雪豹
0,4,0,2,2,3,0,3,4,6,0,0,8,2,11,9,15141,7,3,2,0,辽宁沈阳宏运,新疆天山雪豹
2,6,0,1,0,4,0,15,11,21,0,0,19,3,29,11,15143,13,17,12,0,北京北控燕京,浙江毅腾
1,2,0,0,1,2,0,10,4,10,0,0,7,1,16,5,15143,8,11,8,0,北京北控燕京,浙江毅腾
1,4,0,1,2,2,0,5,7,11,0,0,12,2,13,6,15143,5,6,4,0,北京北控燕京,浙江毅腾
2,8,0,0,0,1,0,8,5,13,0,0,10,7,22,19,15146,6,12,10,0,浙江绿城,呼和浩特
0,5,0,0,1,0,0,5,3,7,0,0,4,1,9,8,15146,4,7,3,0,浙江绿城,呼和浩特
2,3,0,0,2,1,0,3,2,6,0,0,6,6,13,11,15146,2,5,7,0,浙江绿城,呼和浩特
3,9,0,1,0,3,0,10,12,19,0,0,10,0,19,18,15147,8,15,39,0,石家庄永昌,梅州客家
1,6,0,1,1,2,0,6,4,5,0,0,5,0,12,9,15147,3,6,14,0,石家庄永昌,梅州客家
2,3,0,0,2,1,0,4,8,14,0,0,5,0,7,9,15147,5,9,25,0,石家庄永昌,梅州客家
7,7,0,2,0,1,0,5,5,12,0,0,16,1,9,10,15148,11,10,37,0,梅县铁汉生态,延边富德
2,4,0,0,1,0,0,1,4,8,0,0,5,0,3,6,15148,6,4,14,0,梅县铁汉生态,延边富德
5,3,0,2,2,1,0,4,1,4,0,0,11,1,6,4,15148,5,6,23,0,梅县铁汉生态,延边富德
6,12,0,1,0,0,0,9,10,19,0,0,21,2,19,23,15142,10,16,35,0,深圳佳兆业,黑龙江火山鸣泉
0,5,0,1,1,0,0,7,6,5,0,0,11,1,9,11,15142,9,12,14,0,深圳佳兆业,黑龙江火山鸣泉
6,7,0,0,2,0,0,2,4,14,0,0,10,1,10,12,15142,1,4,21,0,深圳佳兆业,黑龙江火山鸣泉
4,9,0,1,0,1,0,11,6,13,0,0,25,1,10,23,15145,8,18,29,0,青岛黄海制药,大连超越
2,5,0,1,1,0,0,6,4,5,0,0,10,0,5,10,15145,6,7,17,0,青岛黄海制药,大连超越
2,4,0,0,2,1,0,5,2,8,0,0,15,1,5,13,15145,2,11,12,0,青岛黄海制药,大连超越
3,7,0,1,0,0,0,7,10,21,0,0,19,5,20,18,15144,7,16,24,0,上海申鑫,武汉卓尔
1,1,0,0,1,0,0,6,4,11,0,0,9,2,10,10,15144,4,8,10,0,上海申鑫,武汉卓尔
2,6,0,1,2,0,0,1,6,10,0,0,10,3,10,8,15144,3,8,14,0,上海申鑫,武汉卓尔
1,13,0,2,0,1,0,10,13,19,0,0,14,7,17,22,15153,8,15,16,0,上海申鑫,青岛黄海制药
1,4,0,0,1,1,0,3,6,6,0,0,6,5,10,6,15153,5,6,8,0,上海申鑫,青岛黄海制药
0,9,0,2,2,0,0,7,7,13,0,0,8,2,7,16,15153,3,9,8,0,上海申鑫,青岛黄海制药
0,9,1,1,0,3,0,12,4,14,0,0,17,3,30,26,15155,12,12,31,0,北京北控燕京,黑龙江火山鸣泉
0,6,0,1,1,1,0,7,4,4,0,0,8,0,13,13,15155,6,6,16,0,北京北控燕京,黑龙江火山鸣泉
0,3,1,1,2,2,0,5,0,10,0,0,9,3,17,13,15155,6,6,15,0,北京北控燕京,黑龙江火山鸣泉
1,6,0,3,0,5,0,5,10,19,0,1,15,3,20,15,15156,8,19,22,0,辽宁沈阳宏运,深圳佳兆业
0,3,0,0,1,2,0,1,5,11,0,0,8,3,11,8,15156,5,5,10,0,辽宁沈阳宏运,深圳佳兆业
1,3,0,3,2,3,0,4,5,8,0,1,7,0,9,7,15156,3,14,12,0,辽宁沈阳宏运,深圳佳兆业
7,7,0,2,0,2,0,18,11,7,0,0,22,0,20,15,15149,9,13,28,0,梅县铁汉生态,新疆天山雪豹
3,5,0,0,1,1,0,10,6,6,0,0,15,0,10,3,15149,4,7,22,0,梅县铁汉生态,新疆天山雪豹
4,2,0,2,2,1,0,8,5,1,0,0,7,0,10,12,15149,5,6,6,0,梅县铁汉生态,新疆天山雪豹
2,7,0,1,0,2,0,9,10,5,0,0,17,4,21,16,15152,9,18,4,0,浙江绿城,大连超越
1,4,0,0,1,2,0,4,7,2,0,0,11,3,10,10,15152,2,6,3,0,浙江绿城,大连超越
