homeShotsOutPenaltyArea,homeAttThSucPaAccuracy,homeAttThPass,guestAttThSucPaAccuracy,guestKeyPasses,guestBreakThrows,guestShots,half,guestAttThPass,homeShots,guestShotsOnTargetObox,guestShotsInPenaltyArea,guestShotsOutPenaltyArea,guestCenter,guestShotsOnTargetIbox,homeBreakThrows,matchHalf,homeShotsInPenaltyArea,matchId,homeShotsOnTargetObox,homeKeyPasses,homeShotsOnTargetIbox,homeCenter,l_team,r_team
10,0.514,70,0.488,5,2,8,0,43,20,0,5,3,18,3,10,0,10,16512,3,10,2,16,广东华南虎,新疆雪豹纳欢
6,0.523,44,0.389,1,2,3,1,18,11,0,1,2,4,1,6,0,5,16512,2,7,1,11,广东华南虎,新疆雪豹纳欢
4,0.5,26,0.56,4,0,5,2,25,9,0,4,1,14,2,4,0,5,16512,1,3,1,5,广东华南虎,新疆雪豹纳欢
4,0.588,80,0.724,12,7,20,0,87,8,1,15,5,18,8,1,0,4,16515,0,6,3,14,上海申鑫,长春亚泰
2,0.486,35,0.75,10,2,12,1,32,5,1,9,3,13,4,0,0,3,16515,0,3,2,8,上海申鑫,长春亚泰
2,0.667,45,0.709,2,5,8,2,55,3,0,6,2,5,4,1,0,1,16515,0,3,1,6,上海申鑫,长春亚泰
0,0.522,67,0.592,10,2,12,0,71,7,3,6,6,21,1,9,0,7,16517,0,5,4,27,四川FC,呼和浩特
0,0.429,21,0.562,4,1,5,1,32,2,2,1,4,9,0,4,0,2,16517,0,2,0,7,四川FC,呼和浩特
0,0.565,46,0.615,6,1,7,2,39,5,1,5,2,12,1,5,0,5,16517,0,3,4,20,四川FC,呼和浩特
3,0.585,41,0.752,7,3,11,0,105,6,4,6,5,15,2,4,0,3,16511,0,5,1,8,陕西大秦之水,黑龙江FC
1,0.565,23,0.705,4,0,6,1,44,3,1,4,2,6,0,2,0,2,16511,0,3,0,6,陕西大秦之水,黑龙江FC
2,0.611,18,0.787,3,3,5,2,61,3,3,2,3,9,2,2,0,1,16511,0,2,1,2,陕西大秦之水,黑龙江FC
9,0.474,78,0.614,3,12,5,0,83,14,2,0,5,16,0,13,0,5,16513,1,8,0,25,贵州恒丰,辽宁沈阳宏运
2,0.444,36,0.651,2,9,3,1,43,6,1,0,3,8,0,5,0,4,16513,1,5,0,10,贵州恒丰,辽宁沈阳宏运
7,0.5,42,0.575,1,3,2,2,40,8,1,0,2,8,0,8,0,1,16513,0,3,0,15,贵州恒丰,辽宁沈阳宏运
1,0.547,53,0.627,12,11,13,0,110,2,0,11,2,34,2,8,0,1,16514,1,1,0,15,梅州客家,北京北体大
0,0.517,29,0.611,4,7,4,1,36,1,0,4,0,11,1,6,0,1,16514,0,1,0,11,梅州客家,北京北体大
1,0.583,24,0.635,8,4,9,2,74,1,0,7,2,23,1,2,0,0,16514,1,0,0,4,梅州客家,北京北体大
4,0.611,72,0.649,3,6,7,0,74,11,1,4,3,15,2,5,0,7,16518,1,10,3,14,浙江绿城,青岛黄海
3,0.59,39,0.621,2,2,4,1,29,7,1,2,2,7,1,2,0,4,16518,1,6,2,8,浙江绿城,青岛黄海
1,0.636,33,0.667,1,4,3,2,45,4,0,2,1,8,1,3,0,3,16518,0,4,1,6,浙江绿城,青岛黄海
2,0.667,111,0.712,10,12,13,0,66,6,2,8,5,14,5,1,0,4,16516,1,4,2,14,石家庄永昌,南通支云
1,0.65,60,0.682,6,5,7,1,22,2,0,5,2,6,3,0,0,1,16516,0,1,1,8,石家庄永昌,南通支云
1,0.686,51,0.727,4,7,6,2,44,4,2,3,3,8,2,1,0,3,16516,1,3,1,6,石家庄永昌,南通支云
4,0.688,64,0.673,8,5,11,0,113,10,1,9,2,24,2,11,0,6,16519,2,5,4,13,陕西大秦之水,青岛黄海
3,0.75,40,0.648,5,3,6,1,54,5,0,6,0,15,1,4,0,2,16519,1,3,0,6,陕西大秦之水,青岛黄海
1,0.583,24,0.695,3,2,5,2,59,5,1,3,2,9,1,7,0,4,16519,1,2,4,7,陕西大秦之水,青岛黄海
5,0.619,63,0.743,4,5,7,0,74,8,1,4,3,10,0,6,0,3,16521,3,3,3,20,梅州客家,新疆雪豹纳欢
1,0.622,45,0.786,1,3,1,1,14,2,1,0,1,1,0,4,0,1,16521,1,1,1,16,梅州客家,新疆雪豹纳欢
4,0.611,18,0.733,3,2,6,2,60,6,0,4,2,9,0,2,0,2,16521,2,2,2,4,梅州客家,新疆雪豹纳欢
3,0.462,52,0.667,6,14,9,0,81,10,1,5,4,18,2,12,0,7,16526,1,6,5,18,贵州恒丰,长春亚泰
0,0.5,28,0.711,4,12,6,1,38,4,1,3,3,8,2,8,0,4,16526,0,4,2,8,贵州恒丰,长春亚泰
3,0.417,24,0.628,2,2,3,2,43,6,0,2,1,10,0,4,0,3,16526,1,2,3,10,贵州恒丰,长春亚泰
6,0.687,131,0.58,7,7,9,0,81,11,1,6,3,15,1,2,0,5,16524,2,5,3,12,石家庄永昌,呼和浩特
4,0.681,69,0.515,2,3,2,1,33,7,1,1,1,6,0,1,0,3,16524,1,4,1,6,石家庄永昌,呼和浩特
2,0.694,62,0.625,5,4,7,2,48,4,0,5,2,9,1,1,0,2,16524,1,1,2,6,石家庄永昌,呼和浩特
5,0.509,53,0.716,5,3,8,0,102,13,0,4,4,11,3,12,0,8,16522,0,9,2,20,南通支云,辽宁沈阳宏运
2,0.529,17,0.741,2,1,3,1,58,6,0,2,1,8,2,7,0,4,16522,0,3,1,6,南通支云,辽宁沈阳宏运
3,0.5,36,0.682,3,2,5,2,44,7,0,2,3,3,1,5,0,4,16522,0,6,1,14,南通支云,辽宁沈阳宏运
2,0.57,86,0.752,13,5,14,0,105,5,1,8,6,20,0,5,0,3,16520,0,5,0,25,广东华南虎,北京北体大
0,0.538,39,0.738,5,2,6,1,42,1,1,2,4,6,0,2,0,1,16520,0,1,0,7,广东华南虎,北京北体大
2,0.596,47,0.762,8,3,8,2,63,4,0,6,2,14,0,3,0,2,16520,0,4,0,18,广东华南虎,北京北体大
7,0.691,97,0.582,9,15,13,0,79,10,2,5,8,27,1,12,0,3,16523,1,7,0,13,上海申鑫,四川FC
1,0.673,49,0.594,4,10,6,1,32,4,2,2,4,10,0,6,0,3,16523,0,2,0,7,上海申鑫,四川FC
6,0.708,48,0.574,5,5,7,2,47,6,0,3,4,17,1,6,0,0,16523,1,5,0,6,上海申鑫,四川FC
6,0.692,130,0.618,5,4,8,0,55,17,1,4,4,19,0,2,0,11,16525,0,12,7,31,浙江绿城,黑龙江FC
2,0.609,64,0.63,4,1,7,1,27,7,1,3,4,10,0,1,0,5,16525,0,5,4,17,浙江绿城,黑龙江FC
4,0.773,66,0.607,1,3,1,2,28,10,0,1,0,9,0,1,0,6,16525,0,7,3,14,浙江绿城,黑龙江FC
9,0.72,243,0.727,1,2,1,0,33,19,0,0,1,4,0,1,0,10,16529,0,14,2,34,青岛黄海,新疆雪豹纳欢
3,0.692,104,0.667,0,0,0,1,18,5,0,0,0,3,0,1,0,2,16529,0,3,0,14,青岛黄海,新疆雪豹纳欢
6,0.741,139,0.8,1,2,1,2,15,14,0,0,1,1,0,0,0,8,16529,0,11,2,20,青岛黄海,新疆雪豹纳欢
6,0.612,85,0.66,6,10,12,0,50,10,1,7,5,8,5,15,0,4,16527,2,5,1,15,辽宁沈阳宏运,陕西大秦之水
0,0.605,38,0.63,4,8,7,1,27,3,1,3,4,6,2,9,0,3,16527,0,3,1,6,辽宁沈阳宏运,陕西大秦之水
6,0.617,47,0.696,2,2,5,2,23,7,0,4,1,2,3,6,0,1,16527,2,2,0,9,辽宁沈阳宏运,陕西大秦之水
3,0.695,105,0.645,4,18,6,0,62,9,1,3,3,15,0,10,0,6,16533,0,4,4,18,长春亚泰,南通支云
2,0.61,41,0.692,2,7,3,1,39,4,0,1,2,5,0,5,0,2,16533,0,2,2,9,长春亚泰,南通支云
1,0.75,64,0.565,2,11,3,2,23,5,1,2,1,10,0,5,0,4,16533,0,2,2,9,长春亚泰,南通支云
9,0.586,116,0.652,4,11,7,0,46,17,0,5,2,9,3,17,0,8,16531,1,10,2,38,四川FC,广东华南虎
6,0.514,37,0.581,2,9,3,1,31,7,0,1,2,7,0,6,0,1,16531,0,3,0,9,四川FC,广东华南虎
3,0.62,79,0.8,2,2,4,2,15,10,0,4,0,2,3,11,0,7,16531,1,7,2,29,四川FC,广东华南虎
5,0.612,67,0.607,8,3,13,0,89,9,1,7,6,21,1,0,0,4,16528,2,6,0,15,梅州客家,贵州恒丰
4,0.644,45,0.609,4,1,4,1,23,5,1,2,2,6,0,0,0,1,16528,2,2,0,8,梅州客家,贵州恒丰
1,0.545,22,0.606,4,2,9,2,66,4,0,5,4,15,1,0,0,3,16528,0,4,0,7,梅州客家,贵州恒丰
