homeShotsOutPenaltyArea,homeAttThSucPaAccuracy,homeAttThPass,guestAttThSucPaAccuracy,guestKeyPasses,guestBreakThrows,guestShots,half,guestAttThPass,homeShots,guestShotsOnTargetObox,guestShotsInPenaltyArea,guestShotsOutPenaltyArea,guestCenter,guestShotsOnTargetIbox,homeBreakThrows,matchHalf,homeShotsInPenaltyArea,matchId,homeShotsOnTargetObox,homeKeyPasses,homeShotsOnTargetIbox,homeCenter,l_team,r_team
3,0.696,125,0.725,8,9,8,0,51,14,1,3,5,8,1,6,0,11,16101,0,10,6,35,山东鲁能泰山,北京人和
1,0.631,65,0.647,5,3,5,1,17,4,0,2,3,1,1,4,0,3,16101,0,3,0,20,山东鲁能泰山,北京人和
2,0.767,60,0.765,3,6,3,2,34,10,1,1,2,7,0,2,0,8,16101,0,7,6,15,山东鲁能泰山,北京人和
6,0.679,81,0.748,8,17,10,0,119,13,2,3,7,16,0,9,0,7,16102,2,10,4,13,广州恒大淘宝,天津天海
2,0.673,55,0.684,5,8,5,1,38,7,2,1,4,6,0,3,0,5,16102,1,5,2,8,广州恒大淘宝,天津天海
4,0.692,26,0.778,3,9,5,2,81,6,0,2,3,10,0,6,0,2,16102,1,5,2,5,广州恒大淘宝,天津天海
2,0.587,63,0.633,11,4,16,0,79,7,2,14,2,25,4,11,0,5,16103,0,7,2,16,上海绿地申花,上海上港
0,0.63,27,0.641,6,2,6,1,39,2,0,6,0,16,0,7,0,2,16103,0,2,0,6,上海绿地申花,上海上港
2,0.556,36,0.625,5,2,10,2,40,5,2,8,2,9,4,4,0,3,16103,0,5,2,10,上海绿地申花,上海上港
5,0.627,59,0.717,8,5,14,0,138,13,4,5,9,21,0,5,0,8,16104,2,9,6,11,武汉卓尔,北京中赫国安
1,0.545,11,0.693,6,3,8,1,88,2,3,1,7,12,0,2,0,1,16104,0,2,0,2,武汉卓尔,北京中赫国安
