homeShotsOutPenaltyArea,homeAttThSucPaAccuracy,homeAttThPass,guestAttThSucPaAccuracy,guestKeyPasses,guestBreakThrows,guestShots,half,guestAttThPass,homeShots,guestShotsOnTargetObox,guestShotsInPenaltyArea,guestShotsOutPenaltyArea,guestCenter,guestShotsOnTargetIbox,homeBreakThrows,matchHalf,homeShotsInPenaltyArea,matchId,homeShotsOnTargetObox,homeKeyPasses,homeShotsOnTargetIbox,homeCenter,l_team,r_team
3,0.688,80,0.689,15,12,19,0,122,11,0,15,4,26,5,7,0,8,1535,2,8,3,10,杭州绿城,石家庄永昌
1,0.652,46,0.746,5,9,7,1,59,4,0,6,1,11,3,5,0,3,1535,1,2,1,5,杭州绿城,石家庄永昌
2,0.735,34,0.635,10,3,12,2,63,7,0,9,3,15,2,2,0,5,1535,1,6,2,5,杭州绿城,石家庄永昌
6,0.602,123,0.464,5,9,6,0,28,15,1,3,3,9,2,11,0,9,1542,2,8,3,28,浙江毅腾,梅州客家
2,0.673,52,0.333,5,2,6,1,9,6,1,3,3,5,2,3,0,4,1542,1,5,2,11,浙江毅腾,梅州客家
4,0.549,71,0.526,0,7,0,2,19,9,0,0,0,4,0,8,0,5,1542,1,3,1,17,浙江毅腾,梅州客家
5,0.648,88,0.574,3,27,6,0,68,17,0,5,1,15,3,11,0,12,1547,1,11,7,23,深圳佳兆业,杭州绿城
4,0.706,51,0.594,2,5,4,1,32,9,0,3,1,7,2,3,0,5,1547,1,5,4,12,深圳佳兆业,杭州绿城
1,0.568,37,0.556,1,22,2,2,36,8,0,2,0,8,1,8,0,7,1547,0,6,3,11,深圳佳兆业,杭州绿城
13,0.75,92,0.731,4,3,4,0,26,24,0,1,3,7,0,16,0,11,1548,2,16,6,17,北京人和,呼和浩特中优
7,0.787,47,0.7,2,2,2,1,10,14,0,0,2,3,0,5,0,7,1548,2,11,3,7,北京人和,呼和浩特中优
6,0.711,45,0.75,2,1,2,2,16,10,0,1,1,4,0,11,0,4,1548,0,5,3,10,北京人和,呼和浩特中优
6,0.694,108,0.619,5,18,10,0,63,16,4,2,8,13,2,5,0,10,1541,2,11,5,11,新疆天山雪豹,北京北控
3,0.688,48,0.645,1,5,4,1,31,6,1,2,2,3,2,3,0,3,1541,0,4,2,4,新疆天山雪豹,北京北控
3,0.7,60,0.594,4,13,6,2,32,10,3,0,6,10,0,2,0,7,1541,2,7,3,7,新疆天山雪豹,北京北控
6,0.796,93,0.692,4,8,7,0,26,24,2,1,6,6,0,17,0,18,1544,1,18,6,13,大连一方,云南丽江
2,0.769,52,0.8,3,3,5,1,10,10,2,1,4,3,0,6,0,8,1544,0,6,2,9,大连一方,云南丽江
4,0.829,41,0.625,1,5,2,2,16,14,0,0,2,3,0,11,0,10,1544,1,12,4,4,大连一方,云南丽江
8,0.705,122,0.6,7,4,10,0,65,17,0,6,4,19,1,11,0,9,1543,4,12,5,21,青岛黄海制药,保定容大
4,0.683,60,0.692,5,2,7,1,26,5,0,6,1,11,1,6,0,1,1543,1,4,1,12,青岛黄海制药,保定容大
4,0.726,62,0.538,2,2,3,2,39,12,0,0,3,8,0,5,0,8,1543,3,8,4,9,青岛黄海制药,保定容大
14,0.735,147,0.719,5,3,8,0,32,26,1,5,3,6,2,17,0,12,1545,4,19,5,22,武汉卓尔,大连超越
2,0.774,53,0.826,4,2,6,1,23,5,1,4,2,4,1,9,0,3,1545,0,4,1,5,武汉卓尔,大连超越
12,0.713,94,0.444,1,1,2,2,9,21,0,1,1,2,1,8,0,9,1545,4,15,4,17,武汉卓尔,大连超越
7,0.622,74,0.72,9,16,13,0,143,20,3,5,8,22,3,23,0,13,1546,2,11,3,11,石家庄永昌,上海申鑫
3,0.543,35,0.73,2,7,3,1,63,10,0,0,3,8,0,11,0,7,1546,1,5,2,3,石家庄永昌,上海申鑫
4,0.692,39,0.712,7,9,10,2,80,10,3,5,5,14,3,12,0,6,1546,1,6,1,8,石家庄永昌,上海申鑫
3,0.814,59,0.575,5,6,13,0,73,9,3,7,6,13,3,10,0,6,1553,2,4,4,16,云南丽江,武汉卓尔
1,0.812,32,0.621,0,1,3,1,29,4,1,1,2,1,1,8,0,3,1553,0,2,2,8,云南丽江,武汉卓尔
2,0.815,27,0.545,5,5,10,2,44,5,2,6,4,12,2,2,0,3,1553,2,2,2,8,云南丽江,武汉卓尔
2,0.684,79,0.737,12,5,18,0,114,10,0,10,8,25,4,3,0,8,1555,0,8,3,14,梅州客家,青岛黄海制药
1,0.659,41,0.726,8,1,10,1,62,4,0,5,5,11,2,1,0,3,1555,0,4,1,12,梅州客家,青岛黄海制药
1,0.711,38,0.75,4,4,8,2,52,6,0,5,3,14,2,2,0,5,1555,0,4,2,2,梅州客家,青岛黄海制药
3,0.647,51,0.677,4,12,8,0,62,8,1,6,2,10,3,5,0,5,1554,0,4,2,19,保定容大,大连一方
1,0.571,21,0.828,2,6,5,1,29,2,1,3,2,6,2,3,0,1,1554,0,0,1,8,保定容大,大连一方
2,0.7,30,0.545,2,6,3,2,33,6,0,3,0,4,1,2,0,4,1554,0,4,1,11,保定容大,大连一方
9,0.643,70,0.773,7,9,11,0,88,17,0,7,4,12,3,6,0,8,1549,4,8,5,12,呼和浩特中优,新疆天山雪豹
7,0.556,36,0.794,3,4,3,1,34,9,0,2,1,7,1,4,0,2,1549,4,3,1,5,呼和浩特中优,新疆天山雪豹
2,0.735,34,0.759,4,5,8,2,54,8,0,5,3,5,2,2,0,6,1549,0,5,4,7,呼和浩特中优,新疆天山雪豹
4,0.643,42,0.763,16,21,21,0,131,8,2,12,9,15,5,16,0,4,1550,2,4,1,9,杭州绿城,北京人和
2,0.667,30,0.738,9,9,12,1,61,3,1,5,7,11,2,8,0,1,1550,0,1,0,6,杭州绿城,北京人和
2,0.583,12,0.786,7,12,9,2,70,5,1,7,2,4,3,8,0,3,1550,2,3,1,3,杭州绿城,北京人和
8,0.775,71,0.628,5,7,7,0,43,15,0,1,6,6,1,11,0,7,1556,2,8,4,16,北京北控,浙江毅腾
3,0.725,40,0.619,1,3,3,1,21,6,0,0,3,4,0,6,0,3,1556,0,3,1,11,北京北控,浙江毅腾
5,0.839,31,0.636,4,4,4,2,22,9,0,1,3,2,1,5,0,4,1556,2,5,3,5,北京北控,浙江毅腾
8,0.715,137,0.571,5,14,12,0,70,11,1,9,3,13,4,15,0,3,1551,3,6,1,14,上海申鑫,深圳佳兆业
3,0.706,51,0.576,1,6,6,1,33,3,0,5,1,10,2,5,0,0,1551,2,3,0,3,上海申鑫,深圳佳兆业
5,0.721,86,0.568,4,8,6,2,37,8,1,4,2,3,2,10,0,3,1551,1,3,1,11,上海申鑫,深圳佳兆业
4,0.653,49,0.575,10,10,15,0,120,5,2,10,5,15,7,5,0,1,1552,2,3,1,4,大连超越,石家庄永昌
1,0.682,22,0.53,10,6,13,1,66,1,2,8,5,12,5,4,0,0,1552,1,1,0,3,大连超越,石家庄永昌
3,0.63,27,0.63,0,4,2,2,54,4,0,2,0,3,2,1,0,1,1552,1,2,1,1,大连超越,石家庄永昌
7,0.598,82,0.675,10,14,15,0,77,15,1,11,4,14,6,21,0,8,1561,2,7,5,25,云南丽江,石家庄永昌
4,0.6,35,0.706,4,7,7,1,34,7,1,5,2,6,2,11,0,3,1561,1,4,1,13,云南丽江,石家庄永昌
3,0.596,47,0.651,6,7,8,2,43,8,0,6,2,8,4,10,0,5,1561,1,3,4,12,云南丽江,石家庄永昌
2,0.527,55,0.624,9,5,13,0,101,7,1,12,1,27,5,9,0,5,1560,1,5,2,14,保定容大,武汉卓尔
2,0.565,23,0.694,5,4,7,1,49,4,1,6,1,13,4,5,0,2,1560,1,2,1,1,保定容大,武汉卓尔
0,0.5,32,0.558,4,1,6,2,52,3,0,6,0,14,1,4,0,3,1560,0,3,1,13,保定容大,武汉卓尔
4,0.561,66,0.69,4,15,12,0,58,10,1,7,5,15,4,15,0,6,1562,2,4,3,14,大连超越,深圳佳兆业
2,0.52,25,0.647,1,7,3,1,17,4,0,2,1,5,1,9,0,2,1562,1,2,1,5,大连超越,深圳佳兆业
2,0.585,41,0.707,3,8,9,2,41,6,1,5,4,10,3,6,0,4,1562,1,2,2,9,大连超越,深圳佳兆业
1,0.673,52,0.675,8,9,12,0,83,12,1,6,6,26,2,15,0,11,1558,0,7,5,15,北京北控,青岛黄海制药
0,0.667,15,0.652,4,4,6,1,46,3,0,4,2,15,1,5,0,3,1558,0,2,1,1,北京北控,青岛黄海制药
1,0.676,37,0.703,4,5,6,2,37,9,1,2,4,11,1,10,0,8,1558,0,5,4,14,北京北控,青岛黄海制药
4,0.568,74,0.595,3,13,5,0,74,10,1,2,3,4,0,14,0,6,1564,1,7,2,19,呼和浩特中优,杭州绿城
2,0.568,37,0.5,1,8,1,1,26,5,0,0,1,2,0,9,0,3,1564,1,3,1,10,呼和浩特中优,杭州绿城
2,0.568,37,0.646,2,5,4,2,48,5,1,2,2,2,0,5,0,3,1564,0,4,1,9,呼和浩特中优,杭州绿城
6,0.707,116,0.571,9,17,18,0,49,13,2,14,4,10,8,12,0,7,1563,0,6,3,18,上海申鑫,北京人和
2,0.694,36,0.423,4,11,11,1,26,5,2,8,3,7,4,8,0,3,1563,0,2,1,7,上海申鑫,北京人和
4,0.712,80,0.739,5,6,7,2,23,8,0,6,1,3,4,4,0,4,1563,0,4,2,11,上海申鑫,北京人和
4,0.691,68,0.651,9,9,14,0,83,11,2,5,9,14,0,6,0,7,1557,1,7,1,10,新疆天山雪豹,浙江毅腾
4,0.683,41,0.591,6,5,9,1,22,7,0,3,6,3,0,2,0,3,1557,1,3,1,8,新疆天山雪豹,浙江毅腾
0,0.704,27,0.672,3,4,5,2,61,4,2,2,3,11,0,4,0,4,1557,0,4,0,2,新疆天山雪豹,浙江毅腾
1,0.695,82,0.789,9,5,12,0,76,9,1,7,5,13,2,9,0,8,1559,0,6,3,25,大连一方,梅州客家
1,0.744,43,0.692,0,3,0,1,13,7,0,0,0,3,0,6,0,6,1559,0,5,2,16,大连一方,梅州客家
0,0.641,39,0.81,9,2,12,2,63,2,1,7,5,10,2,3,0,2,1559,0,1,1,9,大连一方,梅州客家
9,0.726,73,0.815,9,26,14,0,92,14,0,12,2,9,7,19,0,5,1567,3,12,0,14,大连超越,北京人和
4,0.653,49,0.795,3,13,7,1,39,5,0,6,1,4,4,13,0,1,1567,2,4,0,6,大连超越,北京人和
5,0.875,24,0.83,6,13,7,2,53,9,0,6,1,5,3,6,0,4,1567,1,8,0,8,大连超越,北京人和
7,0.636,66,0.65,14,14,19,0,80,11,4,14,5,22,7,10,0,4,1569,0,5,2,17,保定容大,石家庄永昌
1,0.689,45,0.568,6,4,8,1,37,3,2,6,2,8,2,4,0,2,1569,0,2,1,9,保定容大,石家庄永昌
6,0.524,21,0.721,8,10,11,2,43,8,2,8,3,14,5,6,0,2,1569,0,3,1,8,保定容大,石家庄永昌
12,0.605,86,0.568,8,11,11,0,44,21,1,5,6,12,1,3,0,9,1570,4,15,3,18,武汉卓尔,梅州客家
7,0.618,55,0.619,6,3,7,1,21,12,1,3,4,7,0,1,0,5,1570,2,8,1,10,武汉卓尔,梅州客家
5,0.581,31,0.522,2,8,4,2,23,9,0,2,2,5,1,2,0,4,1570,2,7,2,8,武汉卓尔,梅州客家
7,0.721,122,0.543,3,20,4,0,35,23,0,3,1,7,1,15,0,16,1572,0,17,9,26,青岛黄海制药,浙江毅腾
3,0.727,66,0.5,1,9,2,1,14,10,0,2,0,4,1,6,0,7,1572,0,6,4,16,青岛黄海制药,浙江毅腾
4,0.714,56,0.571,2,11,2,2,21,13,0,1,1,3,0,9,0,9,1572,0,11,5,10,青岛黄海制药,浙江毅腾
9,0.757,169,0.481,5,11,8,0,27,32,0,5,3,7,2,10,0,23,1568,2,20,10,20,深圳佳兆业,云南丽江
