guestFrontFreeKicks,guestInitAttackRate,guestFreekiscks,guestCorners,guestPassesSuccRate,guestPass,guestShots,guestGoals,half,homeFreekiscks,guestShotsOnTarget,homePassesSuccRate,homeFrontFreeKicks,homePass,homeInitAttackRate,homeGoals,homePenalties,homeShots,homeCorners,guestPenalties,homePossAve,matchHalf,matchId,guestPossAve,homeShotsOnTarget,l_team,r_team
8,0.45,20,9,0.726,259,16,2,0,29,4,0.828,15,447,0.55,3,0,12,4,0,0.579,0,17429,0.421,7,成都兴城人居,北京人和
4,0.446,9,5,0.717,106,10,1,1,14,2,0.812,7,207,0.554,1,0,4,3,0,0.605,0,17429,0.395,0,成都兴城人居,北京人和
4,0.452,11,4,0.732,153,6,1,2,15,2,0.842,8,240,0.548,2,0,8,1,0,0.556,0,17429,0.444,7,成都兴城人居,北京人和
12,0.639,22,3,0.732,291,6,1,0,30,2,0.763,11,266,0.361,1,0,8,1,1,0.501,0,17432,0.499,0,贵州恒丰,浙江能源绿城
6,0.74,12,2,0.782,193,4,1,1,12,2,0.776,4,134,0.26,0,0,1,0,1,0.452,0,17432,0.548,0,贵州恒丰,浙江能源绿城
6,0.513,10,1,0.633,98,2,0,2,18,0,0.75,7,132,0.487,1,0,7,1,0,0.559,0,17432,0.441,0,贵州恒丰,浙江能源绿城
4,0.395,17,1,0.778,279,8,1,0,12,1,0.838,7,414,0.605,2,0,17,6,0,0.538,0,17435,0.462,5,长春亚泰,黑龙江FC
1,0.316,9,0,0.76,150,3,0,1,4,0,0.841,3,245,0.684,0,0,9,5,0,0.552,0,17435,0.448,2,长春亚泰,黑龙江FC
3,0.51,8,1,0.798,129,5,1,2,8,1,0.834,4,169,0.49,2,0,8,1,0,0.52,0,17435,0.48,3,长春亚泰,黑龙江FC
7,0.581,17,5,0.783,387,19,0,0,15,5,0.781,8,342,0.419,2,0,11,4,0,0.521,0,17433,0.479,6,梅州客家,辽宁沈阳城市
4,0.551,9,1,0.811,169,6,0,1,8,1,0.805,4,159,0.449,1,0,5,0,0,0.542,0,17433,0.458,2,梅州客家,辽宁沈阳城市
3,0.602,8,4,0.761,218,13,0,2,7,4,0.76,4,183,0.398,1,0,6,4,0,0.503,0,17433,0.497,4,梅州客家,辽宁沈阳城市
12,0.484,23,3,0.695,236,10,0,0,19,3,0.786,7,383,0.516,2,1,9,5,0,0.569,0,17436,0.431,4,南通支云,新疆雪豹纳欢
2,0.455,8,0,0.725,131,6,0,1,8,1,0.823,4,232,0.545,0,0,5,2,0,0.574,0,17436,0.426,1,南通支云,新疆雪豹纳欢
10,0.516,15,3,0.657,105,4,0,2,11,2,0.728,3,151,0.484,2,1,4,3,0,0.561,0,17436,0.439,3,南通支云,新疆雪豹纳欢
7,0.363,22,2,0.73,267,9,0,0,12,3,0.844,7,488,0.637,1,0,11,10,0,0.588,0,17430,0.412,4,北京北体大,内蒙古中优
4,0.459,11,0,0.786,168,7,0,1,5,2,0.829,4,228,0.541,1,0,5,2,0,0.525,0,17430,0.475,2,北京北体大,内蒙古中优
3,0.265,11,2,0.636,99,2,0,2,7,1,0.858,3,260,0.735,0,0,6,8,0,0.66,0,17430,0.34,2,北京北体大,内蒙古中优
4,0.612,25,4,0.831,480,11,0,0,19,1,0.749,5,287,0.388,1,0,8,2,0,0.409,0,17431,0.591,4,泰州远大,苏州东吴
3,0.662,13,2,0.85,253,7,0,1,8,0,0.744,1,133,0.338,1,0,4,0,0,0.362,0,17431,0.638,4,泰州远大,苏州东吴
1,0.575,12,2,0.811,227,4,0,2,11,1,0.753,4,154,0.425,0,0,4,2,0,0.455,0,17431,0.545,0,泰州远大,苏州东吴
13,0.4,30,5,0.809,324,10,2,0,15,3,0.848,6,487,0.6,0,0,3,5,2,0.551,0,17437,0.449,0,四川优必选,昆山FC
8,0.51,17,3,0.836,171,7,1,1,4,2,0.833,1,210,0.49,0,0,3,4,0,0.51,0,17437,0.49,0,四川优必选,昆山FC
5,0.308,13,2,0.778,153,3,1,2,11,1,0.859,5,277,0.692,0,0,0,1,2,0.591,0,17437,0.409,0,四川优必选,昆山FC
4,0.24,17,2,0.741,282,5,1,0,15,1,0.821,3,508,0.76,1,0,13,9,0,0.586,0,17434,0.414,2,陕西大秦之水,江西联盛
2,0.266,8,1,0.77,152,2,1,1,7,1,0.839,1,279,0.734,0,0,6,3,0,0.579,0,17434,0.421,0,陕西大秦之水,江西联盛
2,0.212,9,1,0.708,130,3,0,2,8,0,0.799,2,229,0.788,1,0,7,6,0,0.594,0,17434,0.406,2,陕西大秦之水,江西联盛
9,0.634,18,3,0.84,387,9,0,0,9,2,0.789,3,279,0.366,4,1,15,4,0,0.426,0,17441,0.574,7,浙江能源绿城,江西联盛
3,0.512,7,2,0.801,171,4,0,1,3,1,0.78,1,182,0.488,2,1,9,2,0,0.494,0,17441,0.506,4,浙江能源绿城,江西联盛
6,0.766,11,1,0.87,216,5,0,2,6,1,0.804,2,97,0.234,2,0,6,2,0,0.349,0,17441,0.651,3,浙江能源绿城,江西联盛
5,0.466,12,2,0.769,398,14,1,0,23,4,0.773,8,374,0.534,1,0,15,4,0,0.513,0,17444,0.487,5,黑龙江FC,四川优必选
