guestFrontFreeKicks,guestInitAttackRate,guestFreekiscks,guestCorners,guestPassesSuccRate,guestPass,guestShots,guestGoals,half,homeFreekiscks,guestShotsOnTarget,homePassesSuccRate,homeFrontFreeKicks,homePass,homeInitAttackRate,homeGoals,homePenalties,homeShots,homeCorners,guestPenalties,homePossAve,matchHalf,matchId,guestPossAve,homeShotsOnTarget,l_team,r_team
8,0.537,22,7,0.796,398,14,5,0,17,8,0.743,8,373,0.463,4,1,16,6,0,0.445,0,14901,0.555,8,广州恒大淘宝,广州富力
4,0.488,9,0,0.766,158,7,2,1,10,5,0.726,4,175,0.512,3,0,9,6,0,0.509,0,14901,0.491,6,广州恒大淘宝,广州富力
4,0.575,13,7,0.817,240,7,3,2,7,3,0.758,4,198,0.425,1,1,7,0,0,0.395,0,14901,0.605,2,广州恒大淘宝,广州富力
10,0.635,18,7,0.797,444,13,4,0,17,7,0.591,10,215,0.365,0,0,7,1,0,0.353,0,14902,0.647,4,河南建业,天津权健
7,0.71,11,4,0.797,217,4,1,1,7,2,0.618,3,102,0.29,0,0,3,1,0,0.334,0,14902,0.666,2,河南建业,天津权健
3,0.561,7,3,0.797,227,9,3,2,10,5,0.566,7,113,0.439,0,0,4,0,0,0.369,0,14902,0.631,2,河南建业,天津权健
7,0.587,19,4,0.77,435,7,1,0,23,2,0.712,9,320,0.413,1,0,13,4,0,0.473,0,14903,0.527,8,上海绿地申花,长春亚泰
3,0.589,8,4,0.772,219,3,0,1,13,0,0.705,4,149,0.411,1,0,9,4,0,0.465,0,14903,0.535,7,上海绿地申花,长春亚泰
4,0.584,11,0,0.769,216,4,1,2,10,2,0.719,5,171,0.416,0,0,4,0,0,0.481,0,14903,0.519,1,上海绿地申花,长春亚泰
7,0.527,21,3,0.797,379,16,0,0,25,3,0.714,9,311,0.473,1,1,8,3,0,0.483,0,14904,0.517,3,重庆斯威,北京人和
3,0.477,12,1,0.757,152,6,0,1,14,1,0.717,4,145,0.523,1,1,3,1,0,0.492,0,14904,0.508,1,重庆斯威,北京人和
4,0.559,9,2,0.824,227,10,0,2,11,2,0.711,5,166,0.441,0,0,5,2,0,0.477,0,14904,0.523,2,重庆斯威,北京人和
6,0.346,14,4,0.704,334,9,0,0,16,0,0.833,4,544,0.654,8,1,24,5,0,0.595,0,14905,0.405,13,上海上港,大连一方
1,0.246,8,1,0.617,133,3,0,1,6,0,0.833,2,287,0.754,3,1,10,2,0,0.658,0,14905,0.342,6,上海上港,大连一方
5,0.446,6,3,0.761,201,6,0,2,10,0,0.833,2,257,0.554,5,0,14,3,0,0.534,0,14905,0.466,7,上海上港,大连一方
6,0.706,13,8,0.769,571,14,1,0,17,5,0.62,5,326,0.294,1,0,7,0,1,0.38,0,14906,0.62,5,天津泰达,河北华夏幸福
2,0.766,5,4,0.762,307,4,0,1,7,2,0.592,1,179,0.234,1,0,2,0,0,0.384,0,14906,0.616,1,天津泰达,河北华夏幸福
